file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\handler\src\main\java\com\networknt\handler\RequestInterceptorInjectionHandler.java,com.networknt.handler.RequestInterceptorInjectionHandler$Anonymous1,anonymous,4,4,0,4,7,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,32,3,1,3,1,0,0,2,6,0,4,5,0,0,0,25,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\dump\src\main\java\com\networknt\dump\StatusCodeDumper.java,com.networknt.dump.StatusCodeDumper,class,5,7,2,5,5,2,0,6,4,0.5,0.16666667,0.16666667,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,1,18,1,0,0,0,0,1,0,2,0,1,1,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\consul\src\main\java\com\networknt\consul\client\ConsulClientImpl.java,com.networknt.consul.client.ConsulClientImpl$ConsulRequestException,innerclass,0,0,0,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\config\src\test\java\com\networknt\config\TestConfigLoader.java,com.networknt.config.TestConfigLoader,class,4,5,1,4,8,1,0,9,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,3,25,4,0,4,0,0,3,0,5,0,5,1,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\egress-router\src\main\java\io\undertow\server\handlers\proxy\LoadBalancingRouterProxyClient.java,io.undertow.server.handlers.proxy.LoadBalancingRouterProxyClient$HostSelector,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\config\src\test\java\com\networknt\config\DecryptConstructorTest.java,com.networknt.config.DecryptConstructorTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\metrics-config\src\main\java\io\dropwizard\metrics\UniformSnapshot.java,io.dropwizard.metrics.UniformSnapshot,class,3,8,5,3,26,2,0,9,0,0.45454547,0.8181818,0.8181818,11,0,10,0,1,0,11,0,0,0,2,1,0,2,0,0,2,0,8,91,14,4,4,1,4,3,23,18,15,13,2,0,0,0,82,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\balance\src\test\java\com\networknt\balance\LocalFirstLoadBalanceTest.java,com.networknt.balance.LocalFirstLoadBalanceTest,class,6,6,0,6,3,1,0,7,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,27,0,0,0,0,0,34,9,7,0,7,0,0,0,0,45,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\apikey-config\src\main\java\com\networknt\apikey\ApiKeyConfig.java,com.networknt.apikey.ApiKeyConfig,class,9,14,5,9,23,1,0,19,53,0.8626373,0.06666667,0.06666667,14,3,9,4,0,1,10,0,0,0,13,8,7,3,0,3,9,0,6,102,6,1,3,1,0,21,0,27,2,19,4,1,0,0,116,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\light-4j\status\src\main\java\com\networknt\exception\FrameworkException.java,com.networknt.exception.FrameworkException,class,1,4,3,1,3,4,0,1,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,15,1,0,0,0,0,0,1,3,0,2,0,0,0,0,55,1,0
