file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieValueAnimatorUnitTest.java,com.airbnb.lottie.LottieValueAnimatorUnitTest$Anonymous7,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieValueAnimatorUnitTest.java,com.airbnb.lottie.LottieValueAnimatorUnitTest$Anonymous6,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieValueAnimatorUnitTest.java,com.airbnb.lottie.LottieValueAnimatorUnitTest$Anonymous8,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\model\content\RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,class,9,11,2,9,8,1,0,0,12,0.7,0.2857143,0.75,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,35,7,0,0,0,0,2,0,5,1,5,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\LottieAnimationView.java,com.airbnb.lottie.LottieAnimationView$WeakSuccessListener,innerclass,3,3,0,3,3,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,1,0,0,0,0,2,0,2,1,0,0,0,13,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\parser\BlurEffectParser.java,com.airbnb.lottie.parser.BlurEffectParser,class,7,9,2,7,10,1,0,12,1,0.5,NaN,NaN,2,2,0,1,0,1,1,0,0,0,2,2,0,2,0,0,2,0,4,50,2,3,2,0,0,3,4,9,0,6,4,0,0,0,35,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\animation\content\FillContent.java,com.airbnb.lottie.animation.content.FillContent,class,30,31,1,30,30,1,0,45,10,0.7083333,0.32142857,0.75,8,0,8,0,0,0,8,0,0,0,12,0,0,11,0,1,9,0,6,134,3,3,15,0,5,3,14,26,8,21,2,0,0,0,70,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\value\LottieInterpolatedIntegerValue.java,com.airbnb.lottie.value.LottieInterpolatedIntegerValue,class,3,3,0,3,3,3,0,1,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieTaskTest.java,com.airbnb.lottie.LottieTaskTest$Anonymous3,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\parser\GradientColorParser.java,com.airbnb.lottie.parser.GradientColorParser,class,8,11,3,8,50,1,0,24,9,0.5,0.16666667,0.16666667,6,1,2,2,1,1,4,0,0,0,1,0,0,1,0,0,0,0,8,189,12,7,12,0,10,2,68,76,36,59,3,0,0,0,119,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieTaskTest.java,com.airbnb.lottie.LottieTaskTest$Anonymous4,anonymous,1,1,0,1,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,1,0,1,4,3,2,3,2,0,0,0,18,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieTaskTest.java,com.airbnb.lottie.LottieTaskTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieValueAnimatorUnitTest.java,com.airbnb.lottie.LottieValueAnimatorUnitTest$Anonymous1,anonymous,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\main\java\com\airbnb\lottie\utils\MeanCalculator.java,com.airbnb.lottie.utils.MeanCalculator,class,0,2,2,0,4,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,2,0,2,0,0,0,4,3,1,2,1,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieTaskTest.java,com.airbnb.lottie.LottieTaskTest$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\lottie-android\lottie\src\test\java\com\airbnb\lottie\LottieValueAnimatorUnitTest.java,com.airbnb.lottie.LottieValueAnimatorUnitTest$Anonymous3,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,-1,0
