file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-engine\src\test\java\com\netflix\maestro\engine\db\PropertiesUpdateTypeTest.java,com.netflix.maestro.engine.db.PropertiesUpdateTypeTest,class,3,3,0,3,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,3,3,0,11,0,8,0,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\test\java\com\netflix\maestro\models\instance\StepAggregatedViewTest.java,com.netflix.maestro.models.instance.StepAggregatedViewTest,class,4,4,0,4,3,2,0,6,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,1,0,0,0,3,0,4,1,4,1,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-engine\src\main\java\com\netflix\maestro\engine\validations\DryRunValidator.java,com.netflix.maestro.engine.validations.DryRunValidator$ValidationInitiator,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-engine\src\main\java\com\netflix\maestro\engine\metrics\MaestroMetricRepo.java,com.netflix.maestro.engine.metrics.MaestroMetricRepo,class,14,26,12,14,11,1,0,28,0,0.65,0.71428573,0.71428573,8,0,7,1,0,0,7,0,0,0,5,0,0,5,0,0,5,0,3,66,7,1,2,0,1,4,5,20,2,28,1,0,0,9,68,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\main\java\com\netflix\maestro\models\definition\alerting\AlertType.java,com.netflix.maestro.models.definition.alerting.AlertType,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\test\java\com\netflix\maestro\validations\TimeZoneConstraintTest.java,com.netflix.maestro.validations.TimeZoneConstraintTest,class,4,4,0,4,3,3,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,3,4,0,4,0,0,1,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-engine\src\test\java\com\netflix\maestro\engine\eval\MaestroParamExtensionTest.java,com.netflix.maestro.engine.eval.MaestroParamExtensionTest,class,19,19,0,19,19,3,0,67,0,0.62499994,1.0,1.0,19,0,19,0,0,0,19,0,0,0,8,3,0,3,0,5,3,0,23,200,0,0,0,0,0,212,29,36,0,36,0,0,0,26,135,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\test\java\com\netflix\maestro\utils\IdHelperTest.java,com.netflix.maestro.utils.IdHelperTest,class,8,8,0,8,25,1,0,30,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,52,90,0,0,0,0,0,37,44,21,0,20,0,0,0,0,61,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\netflix-sel\src\main\java\com\netflix\sel\type\SelType.java,com.netflix.sel.type.SelType,interface,4,61,57,4,7,1,0,3,21,0.85714287,0.0,0.0,7,0,0,0,0,7,7,0,0,0,2,0,0,0,0,2,0,0,0,61,1,0,0,0,0,6,0,2,6,2,0,2,0,0,45,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-engine\src\main\java\com\netflix\maestro\engine\listeners\InMemoryJobEventListener.java,com.netflix.maestro.engine.listeners.InMemoryJobEventListener,class,17,20,3,17,15,1,0,20,1,0.6333333,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,10,0,0,10,0,0,10,0,2,76,0,1,0,3,0,6,1,1,0,11,4,0,0,8,76,1,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\test\java\com\netflix\maestro\validations\JsonSizeConstraintTest.java,com.netflix.maestro.validations.JsonSizeConstraintTest$TestWorkflowCreateRequest1KBLimit,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-timetrigger\src\main\java\com\netflix\maestro\timetrigger\models\TimeTriggerWithWatermark.java,com.netflix.maestro.timetrigger.models.TimeTriggerWithWatermark,class,11,15,4,11,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,1,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\main\java\com\netflix\maestro\models\api\StepInstanceActionResponse.java,com.netflix.maestro.models.api.StepInstanceActionResponse$StepInstanceActionResponseBuilder,innerclass,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\main\java\com\netflix\maestro\models\api\StepInstanceRestartRequest.java,com.netflix.maestro.models.api.StepInstanceRestartRequest,class,14,15,1,14,3,1,0,4,1,0.7,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,0,0,3,18,2,0,1,0,0,5,0,2,0,5,1,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-common\src\test\java\com\netflix\maestro\models\signal\SignalOutputsTest.java,com.netflix.maestro.models.signal.SignalOutputsTest,class,5,5,0,5,2,2,0,16,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,5,3,3,0,3,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\maestro\maestro-aws\src\main\java\com\netflix\maestro\engine\listeners\SqsRunWorkflowInstancesJobListener.java,com.netflix.maestro.engine.listeners.SqsRunWorkflowInstancesJobListener,class,8,9,1,8,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,3,0,0,8,0,0,0,0,0,2,0,1,0,3,0,0,0,0,29,1,0
