file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,innerclass,6,6,0,6,8,2,0,8,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,1,0,0,0,3,2,0,0,1,0,0,0,55,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,class,9,11,2,9,22,1,0,14,19,0.75510204,0.4181818,1.0,14,0,11,3,0,0,11,0,0,0,7,0,0,7,0,0,2,0,1,107,11,0,6,0,0,0,3,15,0,9,3,1,1,0,85,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\textfield\StartCompoundLayout.java,com.google.android.material.textfield.StartCompoundLayout,class,28,31,3,28,58,2,0,70,0,0.81875,0.46551725,0.864532,32,0,0,3,1,28,29,0,0,0,10,0,0,10,0,0,3,0,13,207,11,0,12,0,2,2,7,20,2,17,2,0,0,0,129,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\slider\Slider.java,com.google.android.material.slider.Slider$OnChangeListener,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\color\utilities\ContrastTest.java,com.google.android.material.color.utilities.ContrastTest,class,3,3,0,3,8,1,0,5,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,32,0,0,0,0,0,0,0,20,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\tests\javatests\com\google\android\material\snackbar\CoordinatorSnackbarWithFabTest.java,com.google.android.material.snackbar.CoordinatorSnackbarWithFabTest$Anonymous1,anonymous,3,3,0,3,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\datepicker\SingleDateSelectorTest.java,com.google.android.material.datepicker.SingleDateSelectorTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\divider\DividerItemDecorationDemoFragment.java,io.material.catalog.divider.DividerItemDecorationDemoFragment$DividerAdapter$MyViewHolder,innerclass,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\preferences\ThemePreference.java,io.material.catalog.preferences.ThemePreference,class,6,7,1,6,5,2,0,4,6,0.875,0.0,0.0,4,0,1,0,3,0,5,0,0,0,6,6,0,6,0,0,6,0,0,25,2,0,0,0,0,0,3,6,0,6,0,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\chip\ChipFragment.java,io.material.catalog.chip.ChipFragment$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\transformation\ExpandableTransformationBehavior.java,com.google.android.material.transformation.ExpandableTransformationBehavior$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\appbar\AppBarLayoutTest.java,com.google.android.material.appbar.AppBarLayoutTest$TestActivity,innerclass,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\chip\ChipFragment.java,io.material.catalog.chip.ChipFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\textfield\ExposedDropdownMenuAccessibilityTest.java,com.google.android.material.textfield.ExposedDropdownMenuAccessibilityTest,class,11,12,1,11,6,1,0,18,0,0.45833334,1.0,1.0,6,0,5,1,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,45,0,0,0,0,1,0,0,7,0,7,0,0,0,0,49,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\adaptive\AdaptiveFeedDemoActivity.java,io.material.catalog.adaptive.AdaptiveFeedDemoActivity$StateContainer,innerclass,6,6,0,6,11,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,1,1,2,0,0,0,4,7,3,6,5,0,0,0,25,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\feature\ViewScheduler.java,io.material.catalog.feature.ViewScheduler,class,1,3,2,1,6,1,0,7,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,1,0,1,26,2,0,3,0,0,0,1,4,0,3,2,0,0,1,50,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\feature\DemoUtils.java,io.material.catalog.feature.DemoUtils$Anonymous1,anonymous,2,2,0,2,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,3,0,3,1,0,0,0,15,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\imageview\ShapeableImageView.java,com.google.android.material.imageview.ShapeableImageView$OutlineProvider,innerclass,5,5,0,5,3,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,14,1,0,2,0,0,0,0,2,0,1,1,0,0,0,15,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\bottomappbar\BottomAppBarFragment.java,io.material.catalog.bottomappbar.BottomAppBarFragment$Module,innerclass,9,9,0,9,2,1,0,0,1,0.0,0.0,0.0,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1033,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\transition\MaterialFadeThrough.java,com.google.android.material.transition.MaterialFadeThrough,class,6,7,1,6,5,3,0,4,10,0.8,0.0,0.0,5,2,1,2,0,2,3,0,0,0,3,3,0,3,0,0,3,0,2,23,4,0,0,0,0,0,1,4,0,4,0,0,0,0,70,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\carousel\FullScreenStrategyDemoFragment.java,io.material.catalog.carousel.FullScreenStrategyDemoFragment,class,25,27,2,25,8,3,0,40,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,106,3,0,0,0,0,2,5,13,0,25,2,3,0,6,77,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\button\MaterialButtonToggleGroupTest.java,com.google.android.material.button.MaterialButtonToggleGroupTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\button\MaterialButtonToggleGroupTest.java,com.google.android.material.button.MaterialButtonToggleGroupTest$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\carousel\CarouselLayoutManagerTest.java,com.google.android.material.carousel.CarouselLayoutManagerTest$Anonymous1,anonymous,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\catalog\java\io\material\catalog\elevation\ElevationFragment.java,io.material.catalog.elevation.ElevationFragment$Module$Anonymous4,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\carousel\CarouselLayoutManagerTest.java,com.google.android.material.carousel.CarouselLayoutManagerTest$Anonymous3,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\java\com\google\android\material\transformation\ExpandableBehavior.java,com.google.android.material.transformation.ExpandableBehavior,class,16,19,3,16,20,2,1,14,30,0.72222227,0.035714287,0.035714287,9,1,6,1,2,0,8,2,0,0,4,3,0,4,0,0,3,0,0,72,8,1,4,0,3,2,4,16,0,14,2,1,0,0,119,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\carousel\CarouselLayoutManagerTest.java,com.google.android.material.carousel.CarouselLayoutManagerTest$Anonymous2,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\carousel\CarouselLayoutManagerTest.java,com.google.android.material.carousel.CarouselLayoutManagerTest$Anonymous5,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\material-components-android\lib\javatests\com\google\android\material\carousel\CarouselLayoutManagerTest.java,com.google.android.material.carousel.CarouselLayoutManagerTest$Anonymous4,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
