file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\cli\Translations.java,net.querz.mcaselector.cli.Translations,class,3,3,0,3,19,1,0,17,3,0.0,0.0,0.0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,70,0,6,1,2,3,23,0,14,7,12,4,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\SelectionExporter.java,net.querz.mcaselector.io.job.SelectionExporter$MCADeleteSelectionProcessJob,innerclass,10,10,0,10,13,3,0,22,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,3,0,5,68,5,0,4,4,0,9,0,13,0,12,2,0,0,0,51,10,9
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkFilter.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkFilter,class,19,20,1,19,144,1,0,68,466,0.84375,0.03448276,0.03448276,32,0,29,2,1,0,30,0,0,0,2,1,0,2,0,0,2,0,48,472,37,40,52,2,21,67,87,96,36,88,6,0,2,0,139,1,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\filter\FilterType.java,net.querz.mcaselector.filter.FilterType$Format,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\mca\MCAFile.java,net.querz.mcaselector.io.mca.MCAFile,class,13,28,15,13,110,1,0,70,85,0.7205882,0.4233871,0.8185484,34,0,29,2,3,0,32,1,0,0,8,1,0,3,5,0,1,0,7,419,21,15,25,11,15,25,130,120,61,76,5,0,0,0,138,1025,13
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\ui\dialog\SettingsDialog.java,net.querz.mcaselector.ui.dialog.SettingsDialog$Result,innerclass,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,13,0,13,0,0,0,13,0,1,37,0,0,0,0,0,0,0,20,0,20,0,0,0,1,35,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil112\Anvil112ChunkMerger.java,net.querz.mcaselector.version.anvil112.Anvil112ChunkMerger,class,5,5,0,5,2,1,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,5,20,5,2,4,7,0,0,0,5,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\ChunkFilterDeleter.java,net.querz.mcaselector.io.job.ChunkFilterDeleter,class,13,15,2,13,6,5,0,11,1,1.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,88,1,1,2,0,0,2,3,6,0,6,2,0,2,1,32,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\config\WorldConfig.java,net.querz.mcaselector.config.WorldConfig,class,10,32,22,10,35,2,0,18,369,0.94567883,0.048387095,0.12903225,30,1,30,0,0,0,32,0,0,0,27,12,9,18,0,0,12,0,8,159,18,2,1,0,0,12,7,61,4,35,1,0,0,0,83,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\ui\component\NBTTreeView.java,net.querz.mcaselector.ui.component.NBTTreeView$KeyValueTreeCell,innerclass,26,26,0,26,122,2,0,77,167,0.90789473,0.2,0.3,19,2,4,14,0,1,5,0,0,0,4,0,0,4,0,0,0,0,4,442,13,3,48,1,4,51,16,77,14,35,8,0,0,3,135,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\overlay\overlays\LastUpdateOverlay.java,net.querz.mcaselector.overlay.overlays.LastUpdateOverlay,class,6,6,0,6,24,2,0,15,15,0.71428573,0.14285715,0.2857143,7,0,7,0,0,0,7,0,0,0,4,2,0,4,0,0,2,0,5,75,14,0,5,4,2,2,6,12,3,10,3,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\CacheHelper.java,net.querz.mcaselector.io.CacheHelper,class,13,16,3,13,33,1,0,46,16,0.44444445,0.2857143,0.2857143,9,8,7,2,0,0,7,0,0,0,1,1,0,1,0,0,1,0,18,140,4,7,4,4,0,14,3,22,0,22,4,0,0,3,65,17,8
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\overlay\overlays\TileEntityAmountOverlay.java,net.querz.mcaselector.overlay.overlays.TileEntityAmountOverlay,class,5,5,0,5,5,3,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,2,0,0,2,3,2,0,2,1,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\filter\filters\CircleFilter.java,net.querz.mcaselector.filter.filters.CircleFilter$CircleFilterDefinition,innerclass,2,2,0,2,6,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,2,21,4,0,0,0,2,2,4,3,7,3,1,0,0,0,15,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\mca\EntitiesChunk.java,net.querz.mcaselector.io.mca.EntitiesChunk,class,10,14,4,10,5,2,0,7,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,19,3,0,0,0,0,2,2,2,0,2,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil120\Anvil120ColorMapping.java,net.querz.mcaselector.version.anvil120.Anvil120ColorMapping$BlockStateMapping,innerclass,3,3,0,3,6,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,21,2,2,1,0,1,1,1,4,1,4,4,0,0,0,16,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\SelectionExporter.java,net.querz.mcaselector.io.job.SelectionExporter$MCADeleteSelectionSaveJob,innerclass,5,5,0,5,3,3,0,6,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,18,0,0,0,1,0,1,0,2,0,2,1,0,0,0,23,10,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\changer\fields\StatusField.java,net.querz.mcaselector.changer.fields.StatusField,class,7,7,0,7,9,2,0,12,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,31,4,0,2,0,0,3,3,5,0,5,1,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\StringPointer.java,net.querz.mcaselector.io.StringPointer,class,2,7,5,2,45,1,0,13,0,0.25,0.8235294,0.8888889,18,0,18,0,0,0,18,0,0,0,2,0,0,2,0,0,1,0,2,116,15,5,11,0,2,13,3,13,10,10,4,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\CachedImageLoadJob.java,net.querz.mcaselector.io.job.CachedImageLoadJob,class,9,11,2,9,12,3,0,23,3,0.59183675,1.0,1.0,7,3,6,1,0,0,6,0,0,0,6,2,0,6,0,0,6,0,4,55,4,0,3,0,0,5,0,10,2,9,1,0,0,0,39,1,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil114\Anvil114ColorMapping.java,net.querz.mcaselector.version.anvil114.Anvil114ColorMapping,class,8,9,1,8,27,1,0,24,4,0.6571428,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,7,1,0,7,0,0,7,0,13,136,9,2,6,2,3,24,32,28,5,24,4,0,1,0,71,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\cli\CustomCommandParser.java,net.querz.mcaselector.cli.CustomCommandParser,class,1,2,1,1,5,1,0,10,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,23,1,1,2,0,0,1,1,2,0,3,2,0,0,1,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\job\ChunkFilterExporter.java,net.querz.mcaselector.io.job.ChunkFilterExporter$MCAExportFilterProcessJob,innerclass,12,12,0,12,12,3,0,18,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,0,0,4,0,0,4,0,2,51,5,0,4,1,0,4,0,15,0,14,1,0,0,0,50,10,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\tile\OverlayPool.java,net.querz.mcaselector.tile.OverlayPool,class,19,27,8,19,43,1,0,58,0,0.6296296,0.7777778,1.0,12,2,10,2,0,0,10,0,0,0,9,1,0,9,0,0,6,0,15,198,13,1,9,8,3,11,25,37,10,26,5,0,0,8,87,1,9
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil113\Anvil113ChunkRenderer.java,net.querz.mcaselector.version.anvil113.Anvil113ChunkRenderer,class,10,11,1,10,56,1,0,30,66,0.9166667,0.0,0.0,12,0,4,8,0,0,5,0,0,0,1,1,0,1,0,0,1,0,25,236,16,11,18,0,32,36,69,105,73,75,6,0,0,2,78,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\overlay\overlays\CustomOverlay.java,net.querz.mcaselector.overlay.overlays.CustomOverlay,class,17,18,1,17,33,5,0,26,8,0.5833333,0.2857143,0.2857143,9,0,7,2,0,0,7,0,0,0,4,0,0,4,0,0,1,0,7,153,19,2,4,3,0,15,23,19,8,15,3,0,3,2,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\ui\component\TransparentStage.java,net.querz.mcaselector.ui.component.TransparentStage,class,9,11,2,9,2,2,1,34,0,0.375,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,2,0,0,47,0,0,0,0,0,4,5,11,8,14,1,0,0,3,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\changer\fields\DeleteEntitiesField.java,net.querz.mcaselector.changer.fields.DeleteEntitiesField,class,5,6,1,5,9,2,0,10,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,32,4,0,2,0,0,4,2,3,0,2,1,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil119\Anvil119ColorMapping.java,net.querz.mcaselector.version.anvil119.Anvil119ColorMapping$BlockStateMapping,innerclass,3,3,0,3,6,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,21,2,2,1,0,1,1,1,4,1,4,4,0,0,0,16,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\anvil118\Anvil118ChunkRenderer.java,net.querz.mcaselector.version.anvil118.Anvil118ChunkRenderer,class,13,14,1,13,83,1,0,36,78,0.9230769,0.0,0.0,13,0,4,9,0,0,5,0,0,0,1,1,0,1,0,0,1,0,47,323,23,13,28,0,32,44,114,143,108,98,7,0,0,1,89,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\io\registry\StatusRegistry.java,net.querz.mcaselector.io.registry.StatusRegistry,class,2,6,4,2,6,1,0,10,0,0.25,0.0,0.0,2,1,1,1,0,0,2,0,0,0,2,2,0,2,0,0,2,0,1,78,1,1,2,1,1,6,0,4,2,4,2,0,1,0,25,17,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\ui\dialog\NumberDialog.java,net.querz.mcaselector.ui.dialog.NumberDialog,class,13,15,2,13,1,2,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,35,0,0,0,0,0,6,2,10,0,11,1,0,0,1,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\version\VersionController.java,net.querz.mcaselector.version.VersionController$Mapping,enum,8,8,0,8,17,1,0,10,54,0.85164845,0.14102565,0.84615386,13,1,0,0,0,13,13,0,0,0,13,1,0,13,0,0,13,0,1,75,13,1,1,0,0,1,19,15,1,15,3,0,0,0,46,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\config\GlobalConfig.java,net.querz.mcaselector.config.GlobalConfig,class,14,26,12,14,32,2,0,33,252,0.95238096,0.033846155,0.033846155,24,1,24,0,0,0,26,0,0,0,21,11,9,12,0,0,11,0,17,133,15,1,2,0,0,0,22,34,3,25,2,0,0,0,82,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\ui\component\GroovyCodeArea.java,net.querz.mcaselector.ui.component.GroovyCodeArea$Anonymous2,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\changer\fields\InhabitedTimeField.java,net.querz.mcaselector.changer.fields.InhabitedTimeField,class,5,5,0,5,8,2,0,11,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,30,3,0,2,1,0,3,3,5,0,5,1,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mcaselector\src\main\java\net\querz\mcaselector\ui\component\HueRangeSlider.java,net.querz.mcaselector.ui.component.HueRangeSlider,class,8,10,2,8,10,3,0,25,0,0.33333334,1.0,1.0,6,0,5,1,0,0,5,0,0,0,2,0,0,2,0,0,2,0,1,57,5,0,0,0,0,2,1,8,8,15,2,0,0,3,35,1,0
