file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\BoundedExecutor.java,com.tonikelope.megabasterd.BoundedExecutor,class,0,1,1,0,3,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,27,0,0,0,1,0,0,0,2,0,2,1,1,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,class,3,16,13,3,61,1,0,34,666,1.0,0.0,0.0,37,36,36,1,0,0,36,0,0,36,1,1,0,1,0,0,1,0,39,376,12,14,1,36,6,107,69,99,0,97,3,0,0,0,113,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\FileGrabberDialog.java,com.tonikelope.megabasterd.FileGrabberDialog$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\FileGrabberDialog.java,com.tonikelope.megabasterd.FileGrabberDialog$Anonymous7,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\FileGrabberDialog.java,com.tonikelope.megabasterd.FileGrabberDialog$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\MegaAPIException.java,com.tonikelope.megabasterd.MegaAPIException,class,2,5,3,2,1,4,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,7,0,0,0,0,0,1,0,2,1,1,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\ChunkDownloaderMono.java,com.tonikelope.megabasterd.ChunkDownloaderMono,class,10,12,2,10,40,2,0,62,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,1,1,0,0,2,0,26,130,0,2,12,4,3,13,24,37,6,20,7,0,0,0,89,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\SecureMultiThreadNotifiable.java,com.tonikelope.megabasterd.SecureMultiThreadNotifiable,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\SecureSingleThreadNotifiable.java,com.tonikelope.megabasterd.SecureSingleThreadNotifiable,interface,0,10,10,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\megabasterd\src\main\java\com\tonikelope\megabasterd\MegaCrypterAPI.java,com.tonikelope.megabasterd.MegaCrypterAPI,class,8,11,3,8,42,1,0,53,10,0.8666666,0.0,0.0,5,4,2,3,0,0,2,0,0,0,3,3,2,1,0,0,3,0,43,189,4,2,19,6,9,57,22,70,11,48,6,0,0,0,120,1,0
