file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\project-management\src\main\java\io\metersphere\project\api\processor\extract\RegexExtract.java,io.metersphere.project.api.processor.extract.RegexExtract,class,6,7,1,6,0,2,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,2,0,0,2,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\framework\sdk\src\main\java\io\metersphere\sdk\constants\EmailInviteSource.java,io.metersphere.sdk.constants.EmailInviteSource,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\project-management\src\main\java\io\metersphere\project\api\assertion\MsAssertion.java,io.metersphere.project.api.assertion.MsAssertion,class,11,17,6,11,0,1,6,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,1,1,0,4,0,0,0,0,40,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\framework\domain\src\main\java\io\metersphere\project\domain\FileAssociation.java,io.metersphere.project.domain.FileAssociation$Column,enum,1,1,0,1,14,1,0,7,39,0.81818175,0.14545454,0.27272728,11,2,10,0,0,1,11,0,0,0,6,2,0,6,0,0,6,0,4,52,11,0,1,0,0,40,1,7,2,7,1,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\framework\domain\src\main\java\io\metersphere\system\domain\StatusDefinitionExample.java,io.metersphere.system.domain.StatusDefinitionExample$GeneratedCriteria,innerclass,3,3,0,3,40,1,0,5,553,0.8,0.03529412,0.03529412,35,0,31,0,4,0,35,0,0,0,1,0,0,0,1,0,0,0,0,146,31,0,4,0,0,57,1,1,2,1,1,0,0,0,38,1036,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\project-management\src\test\java\io\metersphere\project\controller\filemanagement\FileRepositoryControllerTest.java,io.metersphere.project.controller.filemanagement.FileRepositoryControllerTest$Anonymous3$Anonymous4,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\test-plan\src\main\java\io\metersphere\plan\controller\TestPlanReportShareController.java,io.metersphere.plan.controller.TestPlanReportShareController,class,35,35,0,35,26,1,0,32,0,0.546875,1.0,1.0,16,0,16,0,0,0,16,0,0,0,4,0,0,4,0,0,0,0,0,122,16,0,0,0,0,55,3,25,0,26,1,0,0,0,54,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\api-test\src\main\java\io\metersphere\api\dto\scenario\ExecTaskDetailDTO.java,io.metersphere.api.dto.scenario.ExecTaskDetailDTO,class,3,4,1,3,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,9,0,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\framework\domain\src\main\java\io\metersphere\handler\ListTypeHandler.java,io.metersphere.handler.ListTypeHandler,class,8,9,1,8,11,3,0,22,15,0.7142858,0.04761905,0.04761905,7,2,6,1,0,0,7,0,0,0,3,3,1,2,0,0,3,0,2,53,7,0,0,2,0,0,0,8,0,8,1,0,0,0,59,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\api-test\src\main\java\io\metersphere\api\service\definition\ApiDefinitionScheduleService.java,io.metersphere.api.service.definition.ApiDefinitionScheduleService,class,20,22,2,20,13,1,0,76,0,0.62222224,0.8095238,1.0,9,0,7,2,0,0,7,0,0,0,5,0,0,5,0,0,0,0,10,106,5,0,2,0,0,11,0,19,3,25,1,0,0,1,52,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\system-setting\src\main\java\io\metersphere\system\dto\AddProjectRequest.java,io.metersphere.system.dto.AddProjectRequest,class,5,9,4,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,1,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\system-setting\src\main\java\io\metersphere\system\service\CommonNoticeSendService.java,io.metersphere.system.service.CommonNoticeSendService,class,10,14,4,10,11,1,0,34,19,0.78571427,1.0,1.0,7,1,2,5,0,0,2,0,0,0,2,0,0,2,0,0,0,0,4,65,3,1,0,0,0,16,0,19,2,18,1,0,0,0,54,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\metersphere\backend\services\project-management\src\test\java\io\metersphere\project\ProjectApplication.java,io.metersphere.project.ProjectApplication,class,9,10,1,9,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0
