file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\http-client\src\main\java\io\micronaut\http\client\netty\ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,class,61,73,12,61,99,8,0,140,89,0.84719867,0.34285715,0.62857145,31,2,5,16,0,10,15,0,10,0,19,0,0,18,0,1,13,0,11,1147,29,6,23,5,3,24,0,108,5,72,5,6,6,8,521,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject\src\main\java\io\micronaut\inject\annotation\EnvironmentOptionalValuesMap.java,io.micronaut.inject.annotation.EnvironmentOptionalValuesMap,class,5,7,2,5,5,2,0,10,1,0.0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,36,2,1,0,0,0,1,1,6,0,5,3,1,0,1,31,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\A.java,io.micronaut.inject.field.nullableinjection.A,interface,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\B.java,io.micronaut.inject.field.nullableinjection.B,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\C.java,io.micronaut.inject.field.nullableinjection.C,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\aop\proxytargethotswap\ProxyingClass.java,io.micronaut.aop.proxytargethotswap.ProxyingClass,class,7,7,0,7,39,1,0,3,406,0.9655172,0.0,0.0,29,0,7,0,0,22,29,0,0,0,3,0,2,1,0,0,0,0,2,104,25,0,3,0,5,53,18,3,5,3,0,0,0,0,42,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\D.java,io.micronaut.inject.field.nullableinjection.D,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\http-server\src\main\java\io\micronaut\http\server\types\CustomizableResponseType.java,io.micronaut.http.server.types.CustomizableResponseType,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\http-client-tck\src\main\java\io\micronaut\http\client\tck\tests\filter\ClientRequestFilterTest.java,io.micronaut.http.client.tck.tests.filter.ClientRequestFilterTest$MyClientFilter,innerclass,13,13,0,13,20,1,0,16,170,0.75,0.05263158,0.05263158,20,0,20,0,0,0,20,0,0,0,1,0,0,0,0,1,0,0,6,69,16,0,0,0,0,44,0,2,3,3,0,0,0,3,46,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\http-client-core\src\main\java\io\micronaut\http\client\loadbalance\DiscoveryClientRoundRobinLoadBalancer.java,io.micronaut.http.client.loadbalance.DiscoveryClientRoundRobinLoadBalancer,class,4,5,1,4,3,2,0,2,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\http-server-tck\src\main\java\io\micronaut\http\server\tck\tests\StreamTest.java,io.micronaut.http.server.tck.tests.StreamTest$StreamController,innerclass,5,5,0,5,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,6,0,0,0,0,0,0,0,0,25,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\test-suite\src\test\java\io\micronaut\docs\config\converters\MyConfigurationPropertiesSpec.java,io.micronaut.docs.config.converters.MyConfigurationPropertiesSpec,class,5,5,0,5,4,1,0,6,0,0.0,1.0,1.0,3,2,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0,0,1,28,0,0,1,0,0,0,3,3,0,3,1,1,0,0,21,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\test-suite\src\test\groovy\io\micronaut\views\Views.java,io.micronaut.views.Views$Secret,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\foreach\mapof\MainService.java,io.micronaut.inject.foreach.mapof.MainService,class,4,4,0,4,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,2,0,2,0,2,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\http-server-netty\src\main\java\io\micronaut\http\server\netty\handler\accesslog\element\ElapseTimeElement.java,io.micronaut.http.server.netty.handler.accesslog.element.ElapseTimeElement,class,5,7,2,5,9,1,0,6,3,0.71428573,0.42857143,0.71428573,7,0,6,0,0,1,7,0,0,0,5,3,2,3,0,0,4,0,6,30,5,0,0,0,1,2,1,7,3,6,0,0,0,0,59,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\json-core\src\main\java\io\micronaut\json\bind\JsonBeanPropertyBinder.java,io.micronaut.json.bind.JsonBeanPropertyBinder$Anonymous1,anonymous,3,3,0,3,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\test-suite\src\test\java\io\micronaut\docs\propagation\MdcLegacyFilter.java,io.micronaut.docs.propagation.MdcLegacyFilter,class,8,8,0,8,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,2,0,4,0,2,0,2,2,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject\src\main\java\io\micronaut\context\env\CachedEnvironment.java,io.micronaut.context.env.CachedEnvironment,class,3,13,10,3,9,1,0,14,0,0.33333334,0.5,0.5,3,3,3,0,0,0,4,0,0,0,4,4,0,4,0,0,3,0,10,30,4,0,1,0,0,0,0,6,0,7,1,0,0,1,92,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\qualifiers\replaces\DSecondFactoryMethodReplacement.java,io.micronaut.inject.qualifiers.replaces.DSecondFactoryMethodReplacement,class,7,7,0,7,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\jackson-databind\src\main\java\io\micronaut\jackson\serialize\ConvertibleValuesSerializer.java,io.micronaut.jackson.serialize.ConvertibleValuesSerializer,class,5,5,0,5,4,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,0,0,0,0,2,0,2,2,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\inject-java\src\test\groovy\io\micronaut\inject\constructor\streaminjection\AnotherImpl.java,io.micronaut.inject.constructor.streaminjection.AnotherImpl,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\micronaut-core\test-suite\src\test\java\io\micronaut\docs\server\binding\MovieTicketController.java,io.micronaut.docs.server.binding.MovieTicketController,class,6,6,0,6,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,0
