file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\wss\handle\MessageHandler.java,com.github.novicezk.midjourney.wss.handle.MessageHandler,class,13,26,13,13,21,1,9,43,49,0.8636364,0.054545455,0.054545455,11,0,2,0,9,0,11,1,0,0,2,0,0,0,2,0,0,0,7,79,13,0,3,0,0,23,3,13,0,16,1,0,0,3,49,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\service\translate\NoTranslateServiceImpl.java,com.github.novicezk.midjourney.service.translate.NoTranslateServiceImpl,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\Constants.java,com.github.novicezk.midjourney.Constants,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,12,0,0,14,0,0,0,0,0,12,0,12,0,12,0,0,0,0,37,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\controller\AccountController.java,com.github.novicezk.midjourney.controller.AccountController,class,11,11,0,11,3,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,2,0,1,0,0,7,0,1,0,2,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\util\MimeTypeUtils.java,com.github.novicezk.midjourney.util.MimeTypeUtils,class,2,5,3,2,8,1,0,16,0,0.0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,29,3,1,1,0,0,2,2,7,0,7,2,0,0,1,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\util\TaskChangeParams.java,com.github.novicezk.midjourney.util.TaskChangeParams,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\enums\MessageType.java,com.github.novicezk.midjourney.enums.MessageType,enum,1,13,12,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\wss\user\FailureCallback.java,com.github.novicezk.midjourney.wss.user.FailureCallback,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\spring\config\BeanConfig.java,spring.config.BeanConfig,class,20,22,2,20,8,1,0,23,13,0.6428572,0.1904762,0.2857143,7,0,2,0,0,5,7,0,0,0,2,0,0,2,0,0,0,0,0,40,7,1,0,0,0,2,2,8,2,10,1,0,0,0,50,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\midjourney-proxy\src\main\java\com\github\novicezk\midjourney\domain\DomainObject.java,com.github.novicezk.midjourney.domain.DomainObject,class,6,24,18,6,11,1,4,9,34,0.8888889,0.027777778,0.027777778,9,0,9,0,0,0,9,0,0,0,3,0,0,1,2,0,1,0,0,42,7,0,2,0,0,2,0,3,0,4,1,0,0,0,23,1,0
