file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\preference\StillImagePreferenceFragment.java,com.google.mlkit.vision.demo.preference.StillImagePreferenceFragment,class,2,3,1,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\smartreply\app\src\main\java\com\google\mlkit\samples\nl\smartreply\java\model\Message.java,com.google.mlkit.samples.nl.smartreply.java.model.Message,class,3,7,4,3,5,1,0,5,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,3,0,0,25,1,0,1,0,0,1,0,6,0,5,1,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\translate\app\src\main\java\com\google\mlkit\samples\nl\translate\java\MainActivity.java,com.google.mlkit.samples.nl.translate.java.MainActivity,class,3,3,0,3,2,2,0,7,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\PoseClassifier.java,com.google.mlkit.vision.demo.java.posedetector.classification.PoseClassifier,class,8,10,2,8,15,1,0,23,5,0.7083333,0.5,0.6,6,1,5,1,0,0,5,0,0,0,8,4,0,8,0,0,8,0,23,77,5,6,0,0,1,1,15,30,2,30,2,0,0,2,88,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\digitalink\app\src\main\java\com\google\mlkit\samples\vision\digitalink\StrokeManager.java,com.google.mlkit.samples.vision.digitalink.StrokeManager,class,15,20,5,15,35,1,0,39,85,0.8506944,0.16190477,0.52380955,18,0,15,3,0,0,15,0,0,0,16,3,0,14,0,2,5,0,1,163,16,0,7,0,0,10,2,33,1,27,2,0,3,7,115,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\automl\app\src\main\java\com\google\mlkit\vision\automl\demo\InferenceInfoGraphic.java,com.google.mlkit.vision.automl.demo.InferenceInfoGraphic,class,5,5,0,5,3,2,0,6,0,0.083333336,1.0,1.0,2,0,2,0,0,0,2,0,0,1,6,2,0,6,0,0,6,0,0,29,0,0,1,0,0,7,3,8,7,8,1,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\InferenceInfoGraphic.java,com.google.mlkit.vision.demo.InferenceInfoGraphic,class,5,6,1,5,5,2,0,7,0,0.3333333,1.0,1.0,3,0,3,0,0,0,3,0,0,1,8,2,0,8,0,0,7,0,0,41,1,0,1,0,0,9,9,11,10,10,1,0,0,0,49,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\translate\app\src\main\java\com\google\mlkit\samples\nl\translate\java\TranslateViewModel.java,com.google.mlkit.samples.nl.translate.java.TranslateViewModel$Language,innerclass,2,2,0,2,9,1,0,5,0,0.14285715,0.71428573,0.71428573,7,0,4,0,0,3,7,0,0,0,1,0,0,1,0,0,1,0,0,31,8,0,1,0,1,1,0,2,1,2,1,0,0,0,27,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\vision-quickstart\app\src\main\java\com\google\mlkit\vision\demo\java\posedetector\classification\EMASmoothing.java,com.google.mlkit.vision.demo.java.posedetector.classification.EMASmoothing,class,1,2,1,1,8,1,0,9,1,0.52380955,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,7,3,0,7,0,0,6,0,0,46,1,3,1,0,2,0,7,17,5,14,2,0,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\mlkit\android\automl\app\src\main\java\com\google\mlkit\vision\automl\demo\CameraSource.java,com.google.mlkit.vision.automl.demo.CameraSource,class,21,25,4,21,53,1,0,60,36,0.85421985,0.29090908,0.4181818,17,4,10,6,0,1,11,0,0,4,23,10,5,17,1,0,14,0,12,355,13,6,16,2,7,22,21,76,29,59,3,0,3,0,422,1,0
