file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\dao\LogDao.java,cn.luischen.dao.LogDao,interface,3,4,1,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\controller\admin\ArticleController.java,cn.luischen.controller.admin.ArticleController,class,28,29,1,28,10,2,0,25,0,0.6666667,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,4,1,0,4,0,0,1,0,3,62,6,0,0,0,0,96,4,9,1,12,0,0,0,0,59,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\controller\BaseController.java,cn.luischen.controller.BaseController,class,12,21,9,12,7,1,8,12,10,0.95,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,3,1,0,0,0,2,31,5,1,0,0,0,2,3,7,0,10,1,0,0,0,40,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\utils\IPKit.java,cn.luischen.utils.IPKit,class,1,4,3,1,22,1,0,15,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,43,3,2,7,0,0,9,3,15,0,8,3,0,0,0,37,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\service\content\impl\ContentServiceImpl.java,cn.luischen.service.content.impl.ContentServiceImpl,class,17,17,0,17,23,1,0,30,0,0.61111116,1.0,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,8,81,4,0,8,0,0,21,2,16,0,22,2,0,0,2,52,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\utils\Commons.java,cn.luischen.utils.Commons$ImageVisitor,innerclass,2,2,0,2,2,2,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\interceptor\WebMvcConfig.java,cn.luischen.interceptor.WebMvcConfig,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\dto\StatisticsDto.java,cn.luischen.dto.StatisticsDto,class,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\service\site\impl\SiteServiceImpl.java,cn.luischen.service.site.impl.SiteServiceImpl,class,20,21,1,20,18,1,0,31,0,0.55,1.0,1.0,8,0,7,1,0,0,7,0,0,0,5,1,0,5,0,0,1,0,5,95,7,0,2,0,0,33,12,24,1,24,2,0,0,1,64,1,14
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\my-site\src\main\java\cn\luischen\controller\admin\LinksController.java,cn.luischen.controller.admin.LinksController,class,20,21,1,20,6,2,0,16,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,4,43,3,0,1,2,0,29,0,4,0,5,2,0,0,0,44,1,0
