file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\Packet.java,com.corundumstudio.socketio.protocol.Packet,class,5,37,32,5,32,1,0,12,227,0.8671329,0.15076923,0.84923077,26,0,25,0,1,0,26,0,0,0,11,1,0,11,0,0,1,0,1,112,15,0,3,0,0,5,2,18,1,12,1,0,0,0,70,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport$AckArgsDeserializer,innerclass,8,8,0,8,6,2,0,12,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,31,1,1,0,0,0,0,2,14,0,12,2,0,0,0,36,4,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\WrongUrlHandler.java,com.corundumstudio.socketio.handler.WrongUrlHandler,class,11,13,2,11,2,2,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,1,0,6,0,6,1,0,0,0,30,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\AuthorizeHandler.java,com.corundumstudio.socketio.handler.AuthorizeHandler,class,34,41,7,34,34,2,0,76,2,0.691358,0.6666667,1.0,9,0,6,3,0,0,6,0,0,0,9,1,0,9,0,0,9,0,6,175,10,3,4,4,1,17,5,45,2,39,4,1,0,0,145,1,8
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\test\java\com\corundumstudio\socketio\transport\HttpTransportTest.java,com.corundumstudio.socketio.transport.HttpTransportTest$Anonymous1,anonymous,2,2,0,2,7,1,0,1,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,6,0,0,0,0,0,0,0,0,21,-1,6
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastStoreFactory.java,com.corundumstudio.socketio.store.HazelcastStoreFactory,class,8,8,0,8,7,2,0,4,0,0.5,0.5714286,0.71428573,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,4,0,0,35,3,0,0,0,0,0,0,8,0,4,0,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\DispatchMessage.java,com.corundumstudio.socketio.store.pubsub.DispatchMessage,class,2,5,3,2,5,2,0,0,4,0.70000005,0.3,0.6,5,0,5,0,0,0,5,0,0,0,4,1,0,4,0,0,1,0,0,22,3,0,0,0,0,0,1,4,0,4,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderAckPacketTest.java,com.corundumstudio.socketio.parser.DecoderAckPacketTest,class,8,9,1,8,4,2,0,6,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,3,2,2,0,2,0,1,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\HandshakeData.java,com.corundumstudio.socketio.HandshakeData,class,1,9,8,1,15,1,0,4,46,0.8205129,0.20512821,0.47435898,13,0,13,0,0,0,13,0,0,0,9,1,0,9,0,0,1,0,0,59,10,0,2,0,0,0,2,10,0,10,1,0,0,0,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,class,2,3,1,2,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,18,3,0,0,0,0,0,0,4,0,3,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory,class,14,18,4,14,5,1,3,10,10,0.9,0.0,0.0,5,0,4,0,1,0,5,1,0,0,2,0,0,2,0,0,1,0,1,87,2,0,0,0,1,1,1,2,2,2,0,7,0,0,33,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\XHRPostMessage.java,com.corundumstudio.socketio.messages.XHRPostMessage,class,1,4,3,1,1,2,1,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryStore.java,com.corundumstudio.socketio.store.MemoryStore,class,2,3,1,2,4,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\ack\AckManager.java,com.corundumstudio.socketio.ack.AckManager$Anonymous1,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,1,1,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\netty-socketio\src\main\java\com\corundumstudio\socketio\transport\WebSocketTransport.java,com.corundumstudio.socketio.transport.WebSocketTransport,class,25,29,4,25,33,2,0,51,0,0.60714287,1.0,1.0,8,0,4,4,0,0,4,0,0,0,7,2,1,6,0,0,7,0,1,169,4,0,13,3,0,13,3,29,1,28,5,2,0,0,94,1,8
