file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\exception\DbException.java,io.objectbox.exception.DbException,class,0,23,23,0,6,4,11,1,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,21,2,0,1,0,0,2,3,3,1,1,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\ModelBuilder.java,io.objectbox.ModelBuilder$PartBuilder,innerclass,2,2,0,2,6,1,0,3,2,0.5,0.4,0.4,5,0,2,0,0,3,5,1,1,0,2,0,0,2,0,0,1,0,0,21,2,0,0,0,0,1,0,2,0,2,1,0,0,0,43,1032,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\tests\objectbox-java-test\src\test\java\io\objectbox\tree\MetaBranch_.java,io.objectbox.tree.MetaBranch_,class,11,12,1,11,8,1,0,0,28,0.90178573,0.0,0.0,8,0,8,0,0,0,8,0,0,0,14,14,13,0,0,1,14,0,0,50,8,0,0,0,0,8,9,14,0,14,0,1,1,0,51,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\model\ModelProperty.java,io.objectbox.model.ModelProperty$Vector,innerclass,4,4,0,4,3,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\tests\test-proguard\src\main\java\io\objectbox\test\proguard\ObfuscatedEntity.java,io.objectbox.test.proguard.ObfuscatedEntity,class,2,7,5,2,9,1,0,0,12,0.6296297,0.33333334,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,33,3,0,0,0,0,0,0,7,0,3,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\internal\NativeLibraryLoader.java,io.objectbox.internal.NativeLibraryLoader,class,4,6,2,4,56,1,0,44,15,0.8333333,0.0,0.0,6,6,1,5,0,0,2,0,0,0,1,1,0,1,0,0,1,0,35,230,10,0,10,8,0,68,1,60,14,37,5,0,0,0,170,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\sync\listener\SyncLoginListener.java,io.objectbox.sync.listener.SyncLoginListener,interface,0,6,6,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\query\PropertyQueryConditionImpl.java,io.objectbox.query.PropertyQueryConditionImpl$DoubleDoubleCondition$Operation,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\tests\objectbox-java-test\src\test\java\io\objectbox\tree\DataBranch_.java,io.objectbox.tree.DataBranch_$DataBranchIdGetter,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\query\PropertyQueryConditionImpl.java,io.objectbox.query.PropertyQueryConditionImpl$StringStringCondition$Operation,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\objectbox-java\objectbox-java\src\main\java\io\objectbox\query\LazyList.java,io.objectbox.query.LazyList$LazyIterator,innerclass,2,2,0,2,14,1,0,1,3,0.3,0.46666667,0.46666667,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,42,6,0,0,0,0,0,3,2,1,2,1,0,0,0,28,4,0
