file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\ui\SplitTunnelActivity.java,org.bepass.oblivion.ui.SplitTunnelActivity,class,10,10,0,10,7,3,0,13,10,0.0,0.0,0.0,5,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,39,3,0,0,0,0,1,0,2,0,6,2,1,0,3,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\ui\LogActivity.java,org.bepass.oblivion.ui.LogActivity,class,11,13,2,11,13,3,0,35,26,0.75,0.3,0.3,9,0,0,4,5,0,5,0,0,0,4,0,0,4,0,0,1,0,1,106,2,1,1,1,1,2,0,14,1,15,3,2,0,5,80,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\EndpointsBottomSheet.java,org.bepass.oblivion.EndpointsBottomSheet$EndpointsAdapter$EndpointViewHolder,innerclass,5,5,0,5,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\component\TouchAwareSwitch.java,org.bepass.oblivion.component.TouchAwareSwitch,class,6,7,1,6,7,2,0,6,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,1,0,0,2,0,0,0,4,2,0,0,2,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\ui\SplitTunnelActivity.java,org.bepass.oblivion.ui.SplitTunnelActivity$Anonymous1,anonymous,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\interfaces\SheetsCallBack.java,org.bepass.oblivion.interfaces.SheetsCallBack,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\ui\InfoActivity.java,org.bepass.oblivion.ui.InfoActivity,class,6,6,0,6,3,3,0,9,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,0,1,0,2,0,4,1,0,0,2,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\ui\LogActivity.java,org.bepass.oblivion.ui.LogActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\EndpointsBottomSheet.java,org.bepass.oblivion.EndpointsBottomSheet$EndpointsAdapter,innerclass,8,8,0,8,5,2,0,16,0,0.375,0.5,0.5,4,0,3,0,0,1,4,0,0,0,2,0,1,1,0,0,2,0,0,43,2,0,1,0,0,0,0,4,0,6,2,0,1,2,28,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\ui\SettingsActivity.java,org.bepass.oblivion.ui.SettingsActivity,class,20,21,1,20,17,3,0,46,28,0.875,0.0,0.0,8,0,2,3,3,0,5,0,0,0,3,0,0,3,0,0,0,0,11,157,3,0,1,0,1,19,5,10,1,32,2,3,0,22,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\utils\SystemUtils.java,org.bepass.oblivion.utils.SystemUtils,class,5,8,3,5,4,1,0,8,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,1,0,2,0,6,0,4,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\enums\SplitTunnelMode.java,org.bepass.oblivion.enums.SplitTunnelMode,enum,2,7,5,2,2,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,1,0,1,0,2,0,1,1,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\oblivion\app\src\main\java\org\bepass\oblivion\interfaces\ConnectionStateChangeListener.java,org.bepass.oblivion.interfaces.ConnectionStateChangeListener,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
