file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\test\java\org\opengrok\indexer\analysis\python\PythonUtilsTest.java,org.opengrok.indexer.analysis.python.PythonUtilsTest,class,2,2,0,2,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,10,5,10,0,10,0,0,0,0,26,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-web\src\test\java\org\opengrok\web\api\v1\controller\ProjectsControllerTest.java,org.opengrok.web.api.v1.controller.ProjectsControllerTest,class,33,34,1,33,36,3,0,108,88,0.7142857,0.44852942,0.4852941,21,1,2,4,2,13,17,0,0,0,3,0,0,3,0,0,1,0,27,334,5,12,0,9,0,108,42,70,12,72,2,6,0,4,158,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\logger\PackageBasedLoggerFactoryBridge.java,org.opengrok.indexer.logger.PackageBasedLoggerFactoryBridge,class,1,2,1,1,2,1,0,3,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\web\QueryParameters.java,org.opengrok.indexer.web.QueryParameters,class,0,0,0,0,1,1,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,41,41,41,0,0,0,41,0,0,45,0,0,0,0,0,41,0,41,19,41,0,0,0,0,100,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\util\CloseableReentrantReadWriteLock.java,org.opengrok.indexer.util.CloseableReentrantReadWriteLock,class,2,3,1,2,6,2,0,8,6,0.8333333,0.0,0.0,4,0,2,2,0,0,2,0,0,0,3,1,0,3,0,0,1,0,0,29,4,0,2,0,0,0,1,9,0,5,1,0,0,2,33,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\search\Summarizer.java,org.opengrok.indexer.search.Summarizer$Excerpt,innerclass,1,1,0,1,7,1,0,4,11,0.6666667,0.23809524,0.23809524,7,0,7,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,26,4,0,0,0,0,0,1,4,0,3,0,0,0,0,42,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\LangTreeMap.java,org.opengrok.indexer.analysis.LangTreeMap$Anonymous1,anonymous,2,2,0,2,8,1,0,4,16,0.5,0.21428572,0.21428572,8,0,8,0,0,0,8,0,0,0,1,0,0,0,0,1,1,0,0,27,5,0,0,0,0,0,0,1,0,1,0,0,0,0,21,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\analysis\tcl\Consts.java,org.opengrok.indexer.analysis.tcl.Consts,class,0,0,0,0,2,1,0,1,0,1.0,NaN,NaN,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,204,0,0,0,0,0,197,0,1,0,1,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\opengrok-indexer\src\main\java\org\opengrok\indexer\history\ClearCaseRepository.java,org.opengrok.indexer.history.ClearCaseRepository,class,11,15,4,11,30,3,0,32,77,0.8428572,0.08974359,0.12820514,14,1,5,1,0,8,13,0,0,0,5,5,2,3,0,0,5,0,8,155,18,1,3,3,1,29,3,25,4,22,4,0,1,2,128,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\opengrok\suggester\src\main\java\org\opengrok\suggest\popular\PopularityCounter.java,org.opengrok.suggest.popular.PopularityCounter,interface,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
