file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\lucene\src\main\java\com\orientechnologies\lucene\exception\OLuceneIndexException.java,com.orientechnologies.lucene.exception.OLuceneIndexException,class,1,10,9,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\security\src\main\java\com\orientechnologies\security\kerberos\OKrb5LoginModuleConfig.java,com.orientechnologies.security.kerberos.OKrb5LoginModuleConfig,class,0,1,1,0,3,2,0,1,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,2,0,0,19,1,0,1,0,0,11,2,4,0,3,1,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\config\OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,enum,10,42,32,10,72,1,0,42,95,0.7869565,0.2806324,0.53754944,23,5,18,1,0,4,23,0,0,0,10,1,0,10,0,0,9,0,19,254,16,7,25,1,4,537,127,42,74,23,5,0,4,0,682,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\server\src\test\java\com\orientechnologies\orient\server\query\RemoteGraphLiveQueryTest.java,com.orientechnologies.orient.server.query.RemoteGraphLiveQueryTest$Anonymous1,anonymous,3,3,0,3,5,1,0,1,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\storage\index\sbtree\multivalue\v2\CellBTreeMultiValueV2Bucket.java,com.orientechnologies.orient.core.storage.index.sbtree.multivalue.v2.CellBTreeMultiValueV2Bucket$LeafEntry,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\ODistributedOutput.java,com.orientechnologies.orient.server.distributed.impl.ODistributedOutput,class,13,16,3,13,101,1,0,73,55,0.0,0.0,0.0,11,11,9,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,29,435,10,25,39,0,3,147,21,110,14,99,5,7,0,1,154,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\security\OSecurityComponent.java,com.orientechnologies.orient.core.security.OSecurityComponent,interface,2,6,4,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\lucene\src\main\java\com\orientechnologies\lucene\collections\OLuceneResultSetEmpty.java,com.orientechnologies.lucene.collections.OLuceneResultSetEmpty,class,2,4,2,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\sql\executor\FetchFromStorageMetadataStep.java,com.orientechnologies.orient.core.sql.executor.FetchFromStorageMetadataStep,class,14,16,2,14,16,2,0,42,21,0.85714287,0.0,0.0,7,0,3,4,0,0,3,0,0,0,1,1,0,1,0,0,1,0,3,83,6,2,4,1,0,32,1,12,2,12,3,0,0,1,67,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\orientdb\server\src\main\java\com\orientechnologies\orient\server\distributed\ODistributedDatabase.java,com.orientechnologies.orient.server.distributed.ODistributedDatabase,interface,10,14,4,10,24,1,0,0,276,0.0,0.0,0.0,24,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0
