file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-jsp\src\test\java\net\sourceforge\pmd\lang\jsp\rule\security\NoUnsanitizedJSPExpressionTest.java,net.sourceforge.pmd.lang.jsp.rule.security.NoUnsanitizedJSPExpressionTest,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-java\src\test\java\net\sourceforge\pmd\lang\java\rule\performance\ConsecutiveLiteralAppendsTest.java,net.sourceforge.pmd.lang.java.rule.performance.ConsecutiveLiteralAppendsTest,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\TypeInferenceLogger.java,net.sourceforge.pmd.lang.java.types.internal.infer.TypeInferenceLogger$SimpleLogger$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-java\src\test\java\net\sourceforge\pmd\lang\java\symbols\internal\asm\ModuleStubTest.java,net.sourceforge.pmd.lang.java.symbols.internal.asm.ModuleStubTest,class,8,8,0,8,5,1,0,18,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,1,0,0,10,2,8,1,8,3,0,0,1,33,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-scala-modules\pmd-scala-common\src\main\java\net\sourceforge\pmd\lang\scala\ast\ASTDefnTrait.java,net.sourceforge.pmd.lang.scala.ast.ASTDefnTrait,class,6,8,2,6,2,3,0,1,1,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-javascript\src\test\java\net\sourceforge\pmd\lang\ecmascript\rule\errorprone\InaccurateNumericLiteralTest.java,net.sourceforge.pmd.lang.ecmascript.rule.errorprone.InaccurateNumericLiteralTest,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-core\src\main\java\net\sourceforge\pmd\renderers\internal\sarif\SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,innerclass,3,3,0,3,6,1,0,0,1,0.5,0.2,0.4,6,0,5,0,0,1,6,0,0,0,3,0,0,3,0,0,0,0,0,25,5,0,0,0,0,14,0,3,1,3,0,0,0,0,40,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-java\src\test\java\net\sourceforge\pmd\lang\java\types\internal\infer\BaseTypeInferenceUnitTest.java,net.sourceforge.pmd.lang.java.types.internal.infer.BaseTypeInferenceUnitTest,class,19,22,3,19,18,1,1,27,49,0.71428573,0.16483517,0.16483517,14,4,0,0,6,8,14,0,0,0,2,0,0,0,2,0,2,0,2,146,12,3,0,0,0,0,0,7,0,7,2,2,1,0,91,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-core\src\main\java\net\sourceforge\pmd\PmdAnalysis.java,net.sourceforge.pmd.PmdAnalysis,class,45,56,11,45,64,1,0,116,214,0.8500001,0.13438736,0.60474306,28,3,17,5,0,6,23,0,0,0,10,1,0,10,0,0,9,0,33,264,18,11,4,10,1,26,2,44,5,43,5,0,0,0,336,17,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\pmd\pmd-html\src\main\java\net\sourceforge\pmd\lang\html\ast\ASTHtmlXmlDeclaration.java,net.sourceforge.pmd.lang.html.ast.ASTHtmlXmlDeclaration,class,6,9,3,6,3,3,0,2,3,0.0,0.0,0.0,3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0
