file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\newarch\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,class,6,7,1,6,4,2,0,2,0,0.25,0.5,0.5,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,1,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModuleImpl.java,com.imagepicker.ImagePickerModuleImpl,class,13,15,2,13,35,1,0,31,0,0.57407403,0.6666667,0.6666667,6,0,5,0,0,1,6,0,0,0,9,4,3,2,0,4,4,0,27,167,7,0,6,4,1,7,7,37,0,24,2,0,0,1,105,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\Metadata.java,com.imagepicker.Metadata,class,1,3,2,1,6,1,2,4,6,0.9166667,0.0,0.0,4,0,3,0,1,0,4,3,0,0,3,0,0,0,3,0,0,0,0,22,3,0,1,1,0,3,0,2,1,5,2,0,0,0,31,1024,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerPackage.java,com.imagepicker.ImagePickerPackage,class,9,9,0,9,3,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,2,0,2,1,0,0,1,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\VideoMetadata.java,com.imagepicker.VideoMetadata,class,4,5,1,4,15,2,0,9,11,0.6666667,0.13333334,0.2,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,8,50,5,0,8,1,0,3,5,16,2,11,3,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerProvider.java,com.imagepicker.ImagePickerProvider,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\Options.java,com.imagepicker.Options,class,2,4,2,2,7,1,0,14,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,14,0,0,0,0,14,0,0,0,42,0,0,0,0,2,18,5,20,2,17,1,0,0,1,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\VideoMetadata.java,com.imagepicker.CustomMediaMetadataRetriever,class,1,2,1,1,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\oldarch\java\com\imagepicker\ImagePickerModule.java,ImagePickerModule,class,5,5,0,5,4,1,0,2,0,0.25,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,1,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\Utils.java,com.imagepicker.Utils,class,22,24,2,22,105,1,0,108,703,0.9962406,0.0,0.0,38,38,10,4,0,24,34,0,0,0,7,7,7,0,0,0,0,0,52,448,63,4,21,11,8,64,33,100,8,82,3,0,0,0,185,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImageMetadata.java,com.imagepicker.ImageMetadata,class,4,5,1,4,6,2,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,1,1,0,3,2,4,1,3,2,0,0,0,29,1,0
