file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientView.java,com.rnlineargradient.LinearGradientView,class,12,14,2,12,35,2,0,22,94,0.8798077,0.0,0.0,16,3,9,5,2,0,11,0,0,0,13,0,0,13,0,0,1,0,4,151,11,3,11,0,3,6,76,48,25,34,1,0,0,0,102,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\MainApplication.java,com.lineargradientexample.MainApplication,class,7,8,1,7,9,2,0,9,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,50,2,0,0,1,0,2,0,4,0,3,2,1,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\debug\java\com\lineargradientexample\ReactNativeFlipper.java,com.lineargradientexample.ReactNativeFlipper,class,12,12,0,12,3,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,3,0,3,2,2,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.lineargradientexample.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,class,5,6,1,5,5,3,0,1,6,0.75,0.0,0.0,4,0,0,0,3,1,4,0,0,1,1,1,0,1,0,0,0,0,0,19,0,0,0,0,0,1,0,1,0,1,1,0,1,0,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\MainActivity.java,com.lineargradientexample.MainActivity$MainActivityDelegate,innerclass,3,3,0,3,3,2,0,2,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,16,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\android\src\newarch\java\com\rnlineargradient\LinearGradientManagerSpec.java,com.rnlineargradient.LinearGradientManagerSpec,class,5,6,1,5,2,2,0,0,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\debug\java\com\lineargradientexample\ReactNativeFlipper.java,com.lineargradientexample.ReactNativeFlipper$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientManager.java,com.rnlineargradient.LinearGradientManager,class,8,9,1,8,11,3,0,8,45,0.90000004,0.0,0.0,10,0,9,0,1,0,10,0,0,0,9,9,9,0,0,0,9,0,0,43,2,0,1,0,0,9,1,9,0,9,1,0,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\debug\java\com\lineargradientexample\ReactNativeFlipper.java,com.lineargradientexample.ReactNativeFlipper$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\debug\java\com\lineargradientexample\ReactNativeFlipper.java,com.lineargradientexample.ReactNativeFlipper$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\newarchitecture\components\MainComponentsRegistry.java,com.lineargradientexample.newarchitecture.components.MainComponentsRegistry,class,4,6,2,4,4,1,0,2,3,0.6666667,0.0,0.0,3,1,1,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,1,0,1,0,1,0,0,0,0,54,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\android\src\main\java\com\rnlineargradient\LinearGradientPackage.java,com.rnlineargradient.LinearGradientPackage,class,6,6,0,6,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\MainApplication.java,com.lineargradientexample.MainApplication$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,2,0,1,0,1,0,0,0,0,13,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\newarchitecture\MainApplicationReactNativeHost.java,com.lineargradientexample.newarchitecture.MainApplicationReactNativeHost,class,9,10,1,9,6,2,0,1,15,0.0,0.0,0.0,6,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,0,0,0,1,0,1,0,1,0,1,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\newarchitecture\MainApplicationReactNativeHost.java,com.lineargradientexample.newarchitecture.MainApplicationReactNativeHost$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,1,0,1,0,1,0,0,15,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\newarchitecture\MainApplicationReactNativeHost.java,com.lineargradientexample.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,anonymous,8,8,0,8,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,0,0,3,0,3,0,0,0,0,20,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\MainActivity.java,com.lineargradientexample.MainActivity,class,4,5,1,4,2,3,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,1,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\android\src\oldarch\java\com\rnlineargradient\LinearGradientManagerSpec.java,LinearGradientManagerSpec,class,2,2,0,2,8,1,0,0,28,0.0,0.0,0.0,8,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-linear-gradient\example\android\app\src\main\java\com\lineargradientexample\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.lineargradientexample.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate$Builder,innerclass,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
