file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,anonymous,2,2,0,2,5,1,0,1,10,0.0,0.0,0.0,5,0,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,2,0,1,0,1,0,0,0,0,19,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,class,6,7,1,6,3,2,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,32,1,0,0,0,0,0,0,1,0,1,1,1,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\social\ShareIntent.java,cl.json.social.ShareIntent,class,19,29,10,19,68,1,2,68,64,0.8235294,0.24166666,0.375,17,3,5,1,11,0,16,3,0,0,7,0,0,0,7,0,1,0,24,287,16,7,5,2,0,74,11,59,6,52,3,1,0,0,112,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\social\FacebookPagesManagerShare.java,cl.json.social.FacebookPagesManagerShare,class,3,4,1,3,5,3,0,2,10,0.8,0.0,0.0,5,0,2,0,3,0,5,0,0,0,2,2,0,2,0,0,2,0,0,20,3,0,0,0,0,2,0,2,0,2,0,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\social\FacebookStoriesShare.java,cl.json.social.FacebookStoriesShare,class,9,11,2,9,20,3,0,16,15,0.8333333,0.0,0.0,6,0,2,1,3,0,5,0,0,0,2,2,0,2,0,0,2,0,14,72,4,0,1,0,0,43,0,11,0,8,2,0,0,0,65,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\social\WhatsAppBusinessShare.java,cl.json.social.WhatsAppBusinessShare,class,5,6,1,5,7,3,0,7,8,0.75,0.1,0.1,5,0,2,0,3,0,5,0,0,0,4,4,0,4,0,0,4,0,1,33,3,0,0,1,0,4,1,4,0,4,2,0,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\RNShareImpl.java,cl.json.RNShareImpl$SHARES,enum,22,22,0,22,20,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46,20,0,0,0,0,0,0,1,0,1,1,0,0,0,40,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\social\SMSShare.java,cl.json.social.SMSShare,class,3,4,1,3,6,3,0,3,8,0.73333335,0.1,0.1,5,0,2,0,3,0,5,0,0,0,3,2,0,3,0,0,2,0,0,25,4,0,0,0,0,2,1,4,0,3,1,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\social\LinkedinShare.java,cl.json.social.LinkedinShare,class,3,4,1,3,5,3,0,2,10,0.8,0.0,0.0,5,0,2,0,3,0,5,0,0,0,2,2,0,2,0,0,2,0,0,20,3,0,0,0,0,2,0,2,0,2,0,0,0,0,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\react-native-share\android\src\main\java\cl\json\ShareFile.java,cl.json.ShareFile,class,6,11,5,6,30,1,0,32,0,0.6111111,0.5,0.6,9,0,5,4,0,0,5,0,0,0,8,2,2,6,0,0,3,0,4,113,15,1,11,1,3,8,2,30,4,25,3,0,0,0,81,1,0
