file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\test\java\reactor\core\publisher\SinksTest.java,reactor.core.publisher.SinksTest$OptimisticEmitFailureHandlerTest,innerclass,4,4,0,4,2,1,0,6,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2,2,2,0,2,1,2,0,2,16,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\FluxMaterialize.java,reactor.core.publisher.FluxMaterialize,class,8,9,1,8,4,6,0,1,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,120,3,0,1,0,0,0,0,0,0,0,1,0,1,0,15,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\FluxRange.java,reactor.core.publisher.FluxRange,class,11,12,1,11,9,2,0,4,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,2,0,0,0,0,2,2,0,2,246,5,0,3,0,0,3,3,5,4,5,1,0,2,0,41,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\MonoCacheInvalidateIf.java,reactor.core.publisher.MonoCacheInvalidateIf$ValueState,innerclass,3,3,0,3,3,1,0,0,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,18,24,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\test\java\reactor\core\publisher\FluxCreateTest.java,reactor.core.publisher.FluxCreateTest,class,29,30,1,29,108,2,0,96,3160,0.0,0.0,0.0,80,0,1,2,0,77,78,0,0,0,0,0,0,0,0,0,0,0,15,1101,0,10,4,7,6,263,172,142,0,219,3,7,3,108,187,0,19
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\test\java\reactor\core\ListCompositeDisposableTest.java,reactor.core.ListCompositeDisposableTest,class,6,6,0,6,21,1,0,25,153,0.0,0.0,0.0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,169,0,3,0,0,0,9,15,55,0,56,1,0,0,5,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\FluxErrorSupplied.java,reactor.core.publisher.FluxErrorSupplied,class,8,9,1,8,6,2,0,6,0,0.25,0.5,0.5,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,1,0,5,21,2,0,1,0,1,3,0,3,0,3,1,0,0,0,35,16,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\CallSiteSupplierFactory.java,reactor.core.publisher.CallSiteSupplierFactory$SharedSecretsCallSiteSupplierFactory,innerclass,1,1,0,1,2,2,0,1,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,1,0,0,0,0,0,0,1,0,9,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\jcstress\java\reactor\core\publisher\FluxPublishStressTest.java,reactor.core.publisher.FluxPublishStressTest$RefCntGraceConcurrentSubscriptionEmptyAsyncStressTest,innerclass,8,8,0,8,4,2,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,2,1,6,0,0,0,0,0,0,20,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\FluxRepeat.java,reactor.core.publisher.FluxRepeat,class,7,8,1,7,6,5,0,4,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,69,3,0,1,0,0,1,2,2,1,2,1,0,1,0,65,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\FluxUsingWhen.java,reactor.core.publisher.FluxUsingWhen$CommitInner,innerclass,9,9,0,9,11,1,0,7,1,0.42857146,0.47619048,0.47619048,7,0,6,0,0,1,7,0,0,0,2,0,0,0,0,2,1,0,2,32,6,0,4,0,0,2,0,5,0,4,1,0,0,0,37,24,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\InnerProducer.java,reactor.core.publisher.InnerProducer,interface,6,92,86,6,4,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,2,0,0,0,0,0,0,0,1,0,0,0,25,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\test\java\reactor\test\publisher\ParallelOperatorTest.java,reactor.test.publisher.ParallelOperatorTest$Scenario,innerclass,7,7,0,7,23,2,0,21,253,0.0,0.0,0.0,23,1,20,0,0,3,23,0,4,0,0,0,0,0,0,0,0,0,0,91,22,0,0,0,0,1,0,0,0,0,0,0,0,0,44,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\reactor-core\reactor-core\src\main\java\reactor\core\publisher\FluxScanSeed.java,reactor.core.publisher.FluxScanSeed$ScanSeedSubscriber,innerclass,9,9,0,9,17,1,0,15,0,0.53333336,0.7222222,1.0,9,0,8,0,0,1,9,0,0,0,5,0,0,0,0,5,2,0,5,72,9,0,3,1,0,1,0,11,0,6,1,0,0,0,42,24,0
