file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring6\src\test\java\io\github\resilience4j\spring6\DummySpelBean.java,io.github.resilience4j.spring6.DummySpelBean,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-hedge\src\main\java\io\github\resilience4j\hedge\HedgeConfig.java,io.github.resilience4j.hedge.HedgeConfig$Builder,innerclass,5,5,0,5,15,1,0,10,17,0.67777777,0.31111112,0.62222224,10,1,10,0,0,0,10,0,2,0,9,0,0,9,0,0,0,0,4,71,8,0,3,0,0,0,6,30,0,11,1,0,0,0,72,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring6\src\test\java\io\github\resilience4j\spring6\micrometer\configure\utils\FixedOnFailureTagResolver.java,io.github.resilience4j.spring6.micrometer.configure.utils.FixedOnFailureTagResolver,class,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-vavr\src\test\java\io\github\resilience4j\decorators\VavrDecoratorsTest.java,io.github.resilience4j.decorators.VavrDecoratorsTest,class,14,15,1,14,11,1,0,54,0,0.5555556,0.75,0.75,9,0,8,1,0,0,8,0,0,0,2,0,0,2,0,0,0,0,9,89,0,2,1,0,0,35,17,32,0,33,1,0,0,11,59,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-cache\src\main\java\io\github\resilience4j\cache\event\CacheEvent.java,io.github.resilience4j.cache.event.CacheEvent$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-core\src\test\java\io\github\resilience4j\core\ClassUtilsTest.java,io.github.resilience4j.core.ClassUtilsTest$NoDefaultConstructorPredicate,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-micrometer\src\main\java\io\github\resilience4j\micrometer\internal\InMemoryTimerRegistry.java,io.github.resilience4j.micrometer.internal.InMemoryTimerRegistry,class,8,10,2,8,11,2,0,24,43,0.6363636,0.10909091,0.10909091,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,7,39,9,0,0,0,0,0,0,2,0,4,0,0,0,5,44,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-core\src\main\java\io\github\resilience4j\core\registry\EntryReplacedEvent.java,io.github.resilience4j.core.registry.EntryReplacedEvent,class,3,20,17,3,4,2,0,0,2,0.5,0.33333334,0.5,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-framework-common\src\main\java\io\github\resilience4j\common\timelimiter\configuration\CommonTimeLimiterConfigurationProperties.java,io.github.resilience4j.common.timelimiter.configuration.CommonTimeLimiterConfigurationProperties,class,11,18,7,11,18,2,3,19,7,0.61111116,0.4,0.6,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,6,96,6,0,10,0,0,1,0,9,0,7,2,0,1,1,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring6\src\main\java\io\github\resilience4j\spring6\timelimiter\configure\TimeLimiterConfiguration.java,io.github.resilience4j.spring6.timelimiter.configure.TimeLimiterConfiguration,class,33,36,3,33,13,1,0,35,78,0.0,0.0,0.0,13,4,8,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,46,9,0,0,0,0,2,1,3,0,9,0,0,0,5,70,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring6\src\test\java\io\github\resilience4j\spring6\fallback\FallbackAspectTest.java,io.github.resilience4j.spring6.fallback.FallbackAspectTest$FallbackDependencyTestDummyService,innerclass,5,5,0,5,3,2,0,2,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,15,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-framework-common\src\main\java\io\github\resilience4j\common\circuitbreaker\monitoring\endpoint\CircuitBreakerEventDTO.java,io.github.resilience4j.common.circuitbreaker.monitoring.endpoint.CircuitBreakerEventDTO,class,3,7,4,3,14,1,0,0,55,0.7857142,0.1978022,0.85714287,14,0,12,0,0,2,14,0,0,0,6,0,0,6,0,0,0,0,0,54,6,0,0,0,0,0,0,12,0,6,0,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-hedge\src\main\java\io\github\resilience4j\hedge\internal\InMemoryHedgeRegistry.java,io.github.resilience4j.hedge.internal.InMemoryHedgeRegistry$Builder,innerclass,6,6,0,6,7,1,0,7,3,0.625,0.4,1.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,3,0,1,37,6,0,1,0,0,1,0,6,0,5,1,0,0,0,38,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-rxjava2\src\main\java\io\github\resilience4j\AbstractCompletableObserver.java,io.github.resilience4j.AbstractCompletableObserver,class,3,12,9,3,6,2,8,7,3,0.33333334,0.4,0.4,6,0,3,0,3,0,6,2,0,0,1,0,0,1,0,0,1,0,1,25,0,0,0,0,0,0,0,1,0,1,1,0,0,2,19,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-vavr\src\main\java\io\github\resilience4j\core\VavrCheckedFunctionUtils.java,io.github.resilience4j.core.VavrCheckedFunctionUtils,class,6,8,2,6,13,1,0,6,15,0.0,0.0,0.0,6,5,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,68,15,0,0,4,0,0,0,1,0,2,3,0,0,6,49,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring\src\main\java\io\github\resilience4j\bulkhead\configure\ReactorBulkheadAspectExt.java,io.github.resilience4j.bulkhead.configure.ReactorBulkheadAspectExt,class,8,12,4,8,4,1,0,10,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,21,3,0,0,0,2,2,0,4,1,4,1,0,0,0,64,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-metrics\src\test\java\io\github\resilience4j\metrics\RateLimiterMetricsTest.java,io.github.resilience4j.metrics.RateLimiterMetricsTest,class,5,5,0,5,2,2,0,6,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,0,2,0,4,0,4,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-core\src\main\java\io\github\resilience4j\core\NamingThreadFactory.java,io.github.resilience4j.core.NamingThreadFactory,class,1,5,4,1,7,1,1,12,2,0.5833333,1.0,1.0,4,0,2,2,0,0,2,0,0,0,3,0,0,3,0,0,3,0,3,26,3,0,2,0,0,2,2,5,1,5,1,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring6\src\main\java\io\github\resilience4j\spring6\fallback\RxJava3FallbackDecorator.java,io.github.resilience4j.spring6.fallback.RxJava3FallbackDecorator,class,14,16,2,14,9,1,0,9,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,45,11,0,0,1,0,1,0,6,0,9,2,0,0,3,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-bulkhead\src\main\java\io\github\resilience4j\bulkhead\event\BulkheadEvent.java,io.github.resilience4j.bulkhead.event.BulkheadEvent$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring-boot3\src\test\java\io\github\resilience4j\springboot3\service\test\retry\ReactiveRetryDummyServiceImpl.java,io.github.resilience4j.springboot3.service.test.retry.ReactiveRetryDummyServiceImpl,class,5,5,0,5,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,5,0,0,0,0,1,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-metrics\src\main\java\io\github\resilience4j\metrics\publisher\RetryMetricsPublisher.java,io.github.resilience4j.metrics.publisher.RetryMetricsPublisher,class,5,7,2,5,5,2,0,12,8,0.6,0.1,0.1,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,29,0,0,0,0,0,0,0,7,0,7,0,0,0,4,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-core\src\main\java\io\github\resilience4j\core\metrics\PartialAggregation.java,io.github.resilience4j.core.metrics.PartialAggregation,class,1,3,2,1,3,2,0,0,0,0.0,1.0,1.0,3,0,1,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,5,7,0,1,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring\src\main\java\io\github\resilience4j\bulkhead\configure\BulkheadConfiguration.java,io.github.resilience4j.bulkhead.configure.BulkheadConfiguration,class,34,36,2,34,13,1,0,39,78,0.0,0.0,0.0,13,0,8,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,47,9,0,0,0,0,2,1,3,0,11,0,0,0,7,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-spring-boot2\src\test\java\io\github\resilience4j\bulkhead\autoconfigure\BulkheadAutoConfigurationCustomizerTest.java,io.github.resilience4j.bulkhead.autoconfigure.BulkheadAutoConfigurationCustomizerTest$ConfigCustomizerConfiguration,innerclass,3,3,0,3,2,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,4,0,0,2,0,0,0,2,8,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-core\src\test\java\io\github\resilience4j\core\predicate\PredicateCreatorTest.java,io.github.resilience4j.core.predicate.PredicateCreatorTest$BusinessException,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\resilience4j\resilience4j-framework-common\src\main\java\io\github\resilience4j\common\ratelimiter\monitoring\endpoint\RateLimiterEndpointResponse.java,io.github.resilience4j.common.ratelimiter.monitoring.endpoint.RateLimiterEndpointResponse,class,1,1,0,1,4,1,0,0,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,8,1,0
