file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\AuthenticationEvaluator.java,org.apache.rocketmq.auth.authentication.AuthenticationEvaluator,class,4,7,3,4,4,1,0,2,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,15,1,0,1,0,0,0,0,1,0,1,1,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\grpc\v2\AbstractMessingActivity.java,org.apache.rocketmq.proxy.grpc.v2.AbstractMessingActivity,class,6,17,11,6,6,1,11,7,15,0.87499994,0.0,0.0,6,0,1,0,5,0,6,0,0,0,4,1,0,0,4,0,4,0,5,26,0,0,0,0,0,0,0,4,0,4,0,0,0,0,26,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\header\UpdateGlobalWhiteAddrsConfigRequestHeader.java,org.apache.rocketmq.remoting.protocol.header.UpdateGlobalWhiteAddrsConfigRequestHeader,class,3,3,0,3,5,1,0,0,6,0.6,0.2,0.2,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,18,2,0,0,0,0,0,0,2,0,2,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\common\src\main\java\org\apache\rocketmq\common\thread\ThreadPoolQueueSizeMonitor.java,org.apache.rocketmq.common.thread.ThreadPoolQueueSizeMonitor,class,1,2,1,1,5,1,0,2,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,1,1,1,1,1,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\client\src\test\java\org\apache\rocketmq\client\impl\consumer\ConsumeMessagePopConcurrentlyServiceTest.java,org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopConcurrentlyServiceTest,class,20,21,1,20,12,1,0,58,0,0.6666666,1.0,1.0,12,0,11,1,0,0,11,0,0,0,7,0,0,7,0,0,3,0,4,115,1,0,0,0,0,18,16,32,2,35,1,0,0,1,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\controller\src\main\java\org\apache\rocketmq\controller\metrics\ControllerMetricsConstant.java,org.apache.rocketmq.controller.metrics.ControllerMetricsConstant$DLedgerOperationStatus,enum,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\filter\src\main\java\org\apache\rocketmq\filter\parser\SelectorParser.java,org.apache.rocketmq.filter.parser.SelectorParser$LookaheadSuccess,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\remoting\src\main\java\org\apache\rocketmq\remoting\protocol\body\ConsumeByWho.java,org.apache.rocketmq.remoting.protocol.body.ConsumeByWho,class,1,1,0,1,10,2,0,0,35,0.8,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,7,0,5,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\proxy\src\main\java\org\apache\rocketmq\proxy\grpc\v2\GrpcMessagingApplication.java,org.apache.rocketmq.proxy.grpc.v2.GrpcMessagingApplication$GrpcTask,innerclass,4,4,0,4,2,1,0,1,0,0.4,1.0,1.0,2,0,2,0,0,0,2,0,0,0,5,0,0,0,5,0,5,0,0,17,0,0,0,0,0,0,0,5,0,5,0,0,0,0,16,12,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\store\src\main\java\org\apache\rocketmq\store\ha\autoswitch\AutoSwitchHAService.java,org.apache.rocketmq.store.ha.autoswitch.AutoSwitchHAService,class,23,33,10,23,83,4,0,129,339,0.877828,0.19758065,0.49596775,34,0,32,2,0,0,32,0,0,0,13,1,0,13,0,0,9,0,9,421,26,9,6,10,5,16,13,66,4,54,5,0,1,4,203,1,15
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous1,anonymous,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,1,1,1,1,0,0,0,6,-1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\store\src\main\java\org\apache\rocketmq\store\CommitLog.java,org.apache.rocketmq.store.CommitLog$GroupCheckService,innerclass,5,5,0,5,23,3,0,26,20,0.6875,0.06666667,0.06666667,8,0,5,2,1,0,6,0,0,1,2,0,0,2,0,0,0,0,2,88,5,3,0,3,0,5,10,10,6,7,6,0,0,0,46,0,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\test\src\test\java\org\apache\rocketmq\test\client\consumer\pop\BasePopNormally.java,org.apache.rocketmq.test.client.consumer.pop.BasePopNormally,class,11,12,1,11,4,3,1,8,0,0.41666666,0.5,0.5,4,0,2,0,2,0,4,0,0,0,6,0,0,0,6,0,0,0,5,26,2,0,0,0,0,2,3,8,0,6,0,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous5,anonymous,5,5,0,5,6,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,3,0,0,0,0,2,0,2,1,0,0,0,22,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\rocketmq\broker\src\main\java\org\apache\rocketmq\broker\out\BrokerOuterAPI.java,org.apache.rocketmq.broker.out.BrokerOuterAPI$Anonymous4,anonymous,5,5,0,5,8,1,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,3,1,0,3,0,10,0,7,4,0,0,0,31,-1,2
