file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\main\java\net\runelite\client\hiscore\HiscoreResponse.java,net.runelite.client.hiscore.HiscoreResponse$Skill,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\main\java\net\runelite\client\plugins\worldhopper\WorldTypeFilter.java,net.runelite.client.plugins.worldhopper.WorldTypeFilter$Anonymous9,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\test\java\net\runelite\client\plugins\grandexchange\GrandExchangePluginTest.java,net.runelite.client.plugins.grandexchange.GrandExchangePluginTest,class,34,34,0,34,9,1,0,68,0,0.76785713,0.78571427,1.0,8,0,8,0,0,0,8,0,0,0,14,0,0,14,0,0,0,0,1,176,2,1,0,0,0,10,57,26,3,42,1,0,0,2,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\cache\src\main\java\net\runelite\cache\definitions\loaders\OverlayLoader.java,net.runelite.cache.definitions.loaders.OverlayLoader,class,5,9,4,5,7,1,0,9,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,31,1,1,5,0,0,0,5,7,0,7,2,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\main\java\net\runelite\client\config\ConfigClient.java,net.runelite.client.config.ConfigClient$Anonymous4,anonymous,2,2,0,2,3,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,1,0,0,0,13,-1,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\main\java\net\runelite\client\util\LinkBrowser.java,net.runelite.client.util.LinkBrowser,class,4,6,2,4,25,1,0,23,9,0.5,1.0,1.0,6,6,2,4,0,0,2,0,0,0,1,1,0,1,0,0,0,0,15,105,18,0,3,3,0,16,1,8,0,7,2,0,0,3,81,1,12
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\test\java\net\runelite\client\plugins\slayer\SlayerPluginTest.java,net.runelite.client.plugins.slayer.SlayerPluginTest,class,36,37,1,36,9,1,0,60,0,0.8562092,0.75,0.75,9,0,8,1,0,0,8,0,0,0,17,1,0,1,0,16,1,0,0,167,5,0,0,0,0,36,22,23,0,42,1,0,0,4,114,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-api\src\main\java\net\runelite\api\FriendsChatMember.java,net.runelite.api.FriendsChatMember,interface,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\main\java\net\runelite\client\plugins\party\PartyPingOverlay.java,net.runelite.client.plugins.party.PartyPingOverlay,class,7,9,2,7,8,2,0,22,0,0.33333334,NaN,NaN,3,0,1,2,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,40,4,1,2,0,2,0,5,8,4,8,3,0,0,0,30,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\runelite\runelite-client\src\main\java\net\runelite\client\plugins\playerindicators\PlayerIndicatorsPlugin.java,net.runelite.client.plugins.playerindicators.PlayerIndicatorsPlugin,class,30,32,2,30,46,2,0,41,26,0.80808085,0.0952381,0.0952381,9,0,3,2,2,2,7,0,0,0,11,1,0,11,0,0,1,0,0,131,6,3,26,0,0,28,10,35,7,34,4,0,0,1,98,1,1
