file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\virtualauthenticator\HasVirtualAuthenticator.java,org.openqa.selenium.virtualauthenticator.HasVirtualAuthenticator,interface,3,6,3,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\interactions\CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,class,3,4,1,3,3,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,12,1,1,0,0,0,1,0,1,0,1,1,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,innerclass,0,0,0,0,3,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,interface,9,175,166,9,21,1,0,0,210,0.0,0.0,0.0,21,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,5,0,0,0,0,0,0,0,0,356,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\json\JsonInputTest.java,org.openqa.selenium.json.JsonInputTest,class,10,11,1,10,23,1,0,36,253,0.0,0.0,0.0,23,0,0,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,6,196,1,0,0,5,0,50,13,42,6,41,1,0,1,2,126,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\support\pagefactory\UsingPageFactoryTest.java,org.openqa.selenium.support.pagefactory.UsingPageFactoryTest,class,11,11,0,11,4,2,0,15,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,36,0,1,0,0,1,5,1,8,0,8,1,0,2,0,42,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\grid\log\JsonFormatter.java,org.openqa.selenium.grid.log.JsonFormatter,class,1,2,1,1,1,2,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,3,22,1,0,0,1,0,8,1,7,1,7,1,0,0,0,28,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\grid\sessionqueue\GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,class,13,14,1,13,2,1,0,14,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,2,0,4,0,0,4,0,6,28,1,0,0,1,0,4,0,10,0,12,2,1,0,1,48,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\devtools\idealized\target\model\TargetID.java,org.openqa.selenium.devtools.idealized.target.model.TargetID,class,0,6,6,0,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\remote\http\HttpResponse.java,org.openqa.selenium.remote.http.HttpResponse,class,3,79,76,3,8,2,0,5,11,0.6666667,0.13333334,0.13333334,6,0,6,0,0,0,6,0,0,0,2,1,1,1,0,0,1,0,2,24,6,0,0,0,0,2,1,3,0,2,0,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\ie\InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,innerclass,8,8,0,8,23,2,0,13,10,0.625,0.32142857,0.53571427,8,0,5,0,3,0,8,0,0,0,4,0,0,4,0,0,0,0,11,84,7,0,12,1,0,7,1,17,0,10,2,0,0,0,81,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\bidi\script\ScriptCommandsTest.java,org.openqa.selenium.bidi.script.ScriptCommandsTest,class,20,20,0,20,28,2,0,69,378,0.0,0.0,0.0,28,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,78,399,0,0,0,1,7,93,31,161,2,163,1,0,0,4,124,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\remote\AugmenterTest.java,org.openqa.selenium.remote.AugmenterTest$ModifyTitleWebDriverDecorator,innerclass,4,4,0,4,3,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,1,0,0,0,12,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\remote\http\Route.java,org.openqa.selenium.remote.http.Route$TemplatizedRouteConfig,innerclass,7,7,0,7,3,1,0,6,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,4,16,2,0,0,0,0,4,0,2,0,3,0,0,0,1,11,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\net\FixedIANAPortRange.java,org.openqa.selenium.net.FixedIANAPortRange,class,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\net\UrlChecker.java,org.openqa.selenium.net.UrlChecker$TimeoutException,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\remote\ProtocolHandshakeTest.java,org.openqa.selenium.remote.ProtocolHandshakeTest,class,13,14,1,13,7,1,0,40,15,0.0,0.0,0.0,6,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14,80,3,0,1,0,0,26,0,29,0,30,1,0,1,2,78,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\json\JsonOutput.java,org.openqa.selenium.json.JsonOutput$Root,innerclass,2,2,0,2,2,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,32,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\devtools\DevToolsException.java,org.openqa.selenium.devtools.DevToolsException,class,1,8,7,1,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\bidi\script\ExceptionDetails.java,org.openqa.selenium.bidi.script.ExceptionDetails,class,4,7,3,4,14,1,0,8,0,0.525,0.23809524,0.71428573,8,1,7,1,0,0,7,0,0,0,5,0,0,5,0,0,5,0,1,70,7,1,0,0,0,10,2,16,0,11,2,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\support\pagefactory\AnnotationsTest.java,org.openqa.selenium.support.pagefactory.AnnotationsTest$FindByXXXX$FindByXXXXBuilder,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\devtools\noop\NoOpDomains.java,org.openqa.selenium.devtools.noop.NoOpDomains,class,8,9,1,8,6,1,0,2,0,0.5,1.0,1.0,6,0,6,0,0,0,6,0,0,0,2,2,0,2,0,0,2,0,1,22,0,0,0,0,0,6,0,2,1,2,0,0,0,0,61,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\firefox\FirefoxCommandContext.java,org.openqa.selenium.firefox.FirefoxCommandContext,enum,1,5,4,1,6,1,0,3,0,0.0,1.0,1.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,2,18,3,1,1,0,0,2,0,1,0,1,3,0,0,0,27,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\src\org\openqa\selenium\grid\node\config\SessionCapabilitiesMutator.java,org.openqa.selenium.grid.node.config.SessionCapabilitiesMutator,class,5,8,3,5,34,1,0,32,8,0.75,1.0,1.0,5,0,2,3,0,0,2,0,0,0,4,3,0,4,0,0,4,0,3,125,8,2,1,0,8,54,0,28,0,32,4,0,0,5,59,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\ElementSelectingTest.java,org.openqa.selenium.ElementSelectingTest,class,5,6,1,5,38,2,0,35,666,0.972973,0.0,0.0,37,2,0,20,0,17,17,0,0,0,2,2,0,2,0,0,2,0,6,165,12,0,0,0,1,16,1,12,0,12,0,0,0,0,81,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\edge\EdgeDriverServiceTest.java,org.openqa.selenium.edge.EdgeDriverServiceTest,class,4,4,0,4,4,1,0,17,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7,38,0,0,0,0,0,12,7,12,0,12,0,0,0,0,37,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\selenium\java\test\org\openqa\selenium\grid\node\CustomLocatorHandlerTest.java,org.openqa.selenium.grid.node.CustomLocatorHandlerTest$Anonymous1$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
