file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\server\src\main\java\org\pytorch\serve\snapshot\FSSnapshotSerializer.java,org.pytorch.serve.snapshot.FSSnapshotSerializer,class,6,8,2,6,14,1,0,36,19,0.8095238,0.1,0.1,7,3,5,2,0,0,5,0,0,0,3,2,1,2,0,0,2,0,12,73,8,0,1,4,0,10,1,18,3,18,3,0,0,2,58,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\examples\custom_endpoint_plugin\ModelReady.java,org.pytorch.serve.plugins.endpoint.ModelReady,class,8,9,1,8,8,2,0,11,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,3,2,0,0,0,6,2,3,0,2,3,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\server\src\test\java\org\pytorch\serve\metrics\MetricTest.java,org.pytorch.serve.metrics.MetricTest,class,15,15,0,15,20,1,0,32,25,0.7179488,0.3809524,0.43809524,15,0,15,0,0,0,15,0,0,0,13,0,0,13,0,0,13,0,34,173,0,5,0,0,0,47,60,51,6,42,1,0,0,0,58,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\server\src\test\java\org\pytorch\serve\device\utils\AppleUtilTest.java,org.pytorch.serve.device.utils.AppleUtilTest,class,6,6,0,6,9,1,0,30,0,0.45833334,0.75,0.75,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,7,70,0,0,0,1,0,13,17,17,0,17,1,1,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\archive\src\main\java\org\pytorch\serve\archive\DownloadArchiveException.java,org.pytorch.serve.archive.DownloadArchiveException,class,0,3,3,0,2,3,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\serving-sdk\src\main\java\org\pytorch\serve\servingsdk\metrics\DimensionRegistry.java,org.pytorch.serve.servingsdk.metrics.DimensionRegistry,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,11,0,0,0,0,0,4,0,4,0,4,0,0,1,0,60,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\server\src\main\java\org\pytorch\serve\metrics\configuration\MetricSpecification.java,org.pytorch.serve.metrics.configuration.MetricSpecification,class,0,4,4,0,12,1,0,1,0,0.5416667,0.5,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,34,4,0,2,0,0,5,0,3,3,3,1,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\archive\src\main\java\org\pytorch\serve\archive\model\Manifest.java,org.pytorch.serve.archive.model.Manifest$RuntimeType,enum,2,2,0,2,5,1,0,2,0,0.0,1.0,1.0,3,1,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,16,2,1,0,0,0,7,0,1,1,1,2,0,0,0,21,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\archive\src\main\java\org\pytorch\serve\archive\model\ModelVersionNotFoundException.java,org.pytorch.serve.archive.model.ModelVersionNotFoundException,class,1,5,4,1,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\serve\frontend\server\src\main\java\org\pytorch\serve\openapi\Info.java,org.pytorch.serve.openapi.Info,class,0,2,2,0,9,1,0,0,28,0.7777778,0.11111111,0.11111111,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,32,4,0,0,0,0,0,0,4,0,4,0,0,0,0,13,1,0
