file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\config\ogdl\src\main\java\org\apache\shiro\config\ogdl\ReflectionBuilder.java,org.apache.shiro.config.ogdl.ReflectionBuilder$BeanConfigurationProcessor,innerclass,9,9,0,9,11,1,0,17,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,49,0,2,0,0,0,0,2,14,1,13,3,0,0,0,42,18,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\integration-tests\jaxrs\app\src\main\java\org\apache\shiro\testing\jaxrs\app\dao\StormtrooperDao.java,org.apache.shiro.testing.jaxrs.app.dao.StormtrooperDao,interface,3,5,2,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\web\src\test\java\org\apache\shiro\web\filter\PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\support\guice\src\test\java\org\apache\shiro\guice\web\ShiroWebModuleTest.java,org.apache.shiro.guice.web.ShiroWebModuleTest$MyWebEnvironment,innerclass,7,7,0,7,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\support\jakarta-ee\src\main\java\org\apache\shiro\ee\filters\ShiroFilter.java,org.apache.shiro.ee.filters.ShiroFilter$WrappedSecurityManager,innerclass,13,13,0,13,8,1,0,11,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,28,3,0,1,1,0,3,0,5,0,5,2,0,0,0,31,8,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\core\src\main\java\org\apache\shiro\authc\pam\AuthenticationStrategy.java,org.apache.shiro.authc.pam.AuthenticationStrategy,interface,3,5,2,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\support\spring-boot\spring-boot-starter\src\main\java\org\apache\shiro\spring\config\web\autoconfigure\ShiroWebFilterConfiguration.java,org.apache.shiro.spring.config.web.autoconfigure.ShiroWebFilterConfiguration,class,10,11,1,10,3,2,0,8,3,0.6666667,0.0,0.0,3,0,0,0,3,0,3,0,0,0,2,2,2,0,0,0,2,0,0,18,3,0,0,0,0,4,1,3,0,3,0,0,0,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\crypto\hash\src\main\java\org\apache\shiro\crypto\hash\format\ParsableHashFormat.java,org.apache.shiro.crypto.hash.format.ParsableHashFormat,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\crypto\hash\src\main\java\org\apache\shiro\crypto\hash\ConfigurableHashService.java,org.apache.shiro.crypto.hash.ConfigurableHashService,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\core\src\main\java\org\apache\shiro\realm\jdbc\JdbcRealm.java,org.apache.shiro.realm.jdbc.JdbcRealm$SaltStyle,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\core\src\main\java\org\apache\shiro\authz\permission\RolePermissionResolver.java,org.apache.shiro.authz.permission.RolePermissionResolver,interface,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\core\src\main\java\org\apache\shiro\authz\permission\RolePermissionResolverAware.java,org.apache.shiro.authz.permission.RolePermissionResolverAware,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shiro\core\src\test\java\org\apache\shiro\mgt\AbstractSecurityManagerTest.java,org.apache.shiro.mgt.AbstractSecurityManagerTest,class,7,8,1,7,2,1,1,3,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,12,1,0,0,0,0,0,0,2,0,2,0,0,0,0,13,1025,0
