file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\storage\sessions\SessionStore.java,org.asamk.signal.manager.storage.sessions.SessionStore,class,15,19,4,15,50,1,0,67,52,0.67999995,0.6691176,0.6691176,25,2,15,8,0,2,17,0,0,0,5,2,0,5,0,0,5,0,13,275,14,4,7,23,8,30,19,60,4,67,3,0,0,7,98,1,5
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\storage\keyValue\KeyValueStore.java,org.asamk.signal.manager.storage.keyValue.KeyValueStore,class,7,11,4,7,42,1,0,39,12,0.65625,0.4,0.6666667,8,3,6,2,0,0,6,0,0,0,4,2,0,4,0,0,4,0,5,164,8,0,26,6,3,17,3,24,2,17,3,0,0,1,60,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\src\main\java\org\asamk\signal\commands\SendTypingCommand.java,org.asamk.signal.commands.SendTypingCommand,class,9,10,1,9,9,1,0,18,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,37,1,0,2,1,0,21,0,6,2,6,1,0,0,0,65,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\src\main\java\org\asamk\Signal.java,org.asamk.Signal$ReceiptReceivedV2,innerclass,2,2,0,2,5,2,0,0,2,0.6,0.4,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,0,25,4,0,0,0,0,0,0,4,0,4,0,0,0,0,16,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\helper\ReceiveHelper.java,org.asamk.signal.manager.helper.ReceiveHelper$Callable,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\helper\UnidentifiedAccessHelper.java,org.asamk.signal.manager.helper.UnidentifiedAccessHelper,class,19,24,5,19,33,1,0,41,71,0.8166667,0.0,0.0,15,2,6,9,0,0,6,0,0,0,8,3,0,8,0,0,6,0,4,117,24,0,11,3,3,7,2,19,2,17,1,0,0,0,76,1,7
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\syncStorage\StorageSyncValidations.java,org.asamk.signal.manager.syncStorage.StorageSyncValidations$LessDeletesThanExpectedError,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\storage\AttachmentStore.java,org.asamk.signal.manager.storage.AttachmentStore$AttachmentStorer,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\storage\recipients\RecipientStore.java,org.asamk.signal.manager.storage.recipients.RecipientStore$HelperStore,innerclass,5,5,0,5,5,1,0,4,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,18,2,0,0,0,0,0,0,1,0,1,0,0,0,0,20,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\src\main\java\org\asamk\signal\logging\Scrubber.java,org.asamk.signal.logging.Scrubber,class,2,4,2,2,18,1,0,27,31,0.80000013,NaN,NaN,10,9,1,9,0,0,1,0,0,0,15,15,0,15,0,0,15,0,22,87,10,1,3,0,0,119,27,27,1,33,2,0,1,7,81,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\storage\Database.java,org.asamk.signal.manager.storage.Database,class,6,24,18,6,14,1,1,27,25,0.7,0.2857143,0.2857143,10,4,3,3,4,0,7,2,2,0,3,0,0,3,0,0,3,0,4,77,4,0,2,4,0,7,7,14,2,12,2,0,0,0,57,1025,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\src\main\java\org\asamk\signal\commands\JsonRpcDispatcherCommand.java,org.asamk.signal.commands.JsonRpcDispatcherCommand,class,16,18,2,16,8,1,0,25,15,1.0,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,14,45,3,0,2,0,1,12,0,14,0,16,0,0,0,2,81,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\api\DeviceLimitExceededException.java,org.asamk.signal.manager.api.DeviceLimitExceededException,class,0,1,1,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\signal-cli\lib\src\main\java\org\asamk\signal\manager\syncStorage\StorageSyncValidations.java,org.asamk.signal.manager.syncStorage.StorageSyncValidations$InsertNotPresentInFullIdSetError,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,0
