file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\base\src\main\java\smile\data\SparseDataset.java,smile.data.SparseDataset,class,9,11,2,9,28,2,0,39,57,0.80357146,0.08791209,0.16483517,14,4,14,0,0,0,14,0,0,0,4,1,0,4,0,0,2,0,10,128,10,6,2,1,0,6,21,39,15,45,4,0,0,9,165,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\base\src\main\java\smile\interpolation\CubicSplineInterpolation2D.java,smile.interpolation.CubicSplineInterpolation2D,class,4,4,0,4,7,1,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,31,2,2,2,0,0,3,3,9,0,7,1,0,0,0,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\base\src\main\java\smile\math\matrix\fp32\SparseMatrix.java,smile.math.matrix.fp32.SparseMatrix,class,9,12,3,9,104,2,0,33,0,0.6059113,0.48615384,0.5846154,29,4,26,3,0,0,26,0,0,0,7,2,0,7,0,0,7,0,24,416,21,46,10,2,0,12,91,179,60,120,4,1,1,0,317,1,6
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\deep\src\main\java\smile\deep\activation\SiLU.java,smile.deep.activation.SiLU,class,3,8,5,3,4,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,1,0,1,0,1,1,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\deep\src\main\java\smile\deep\metric\Metric.java,smile.deep.metric.Metric,interface,1,5,4,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\core\src\main\java\smile\classification\KNN.java,smile.classification.KNN,class,10,11,1,10,24,2,0,11,0,0.46875,0.75,0.75,8,4,8,0,0,0,8,0,0,0,4,1,0,4,0,0,4,0,5,96,9,3,9,0,0,8,20,18,3,14,2,0,0,0,203,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\core\src\main\java\smile\validation\metric\RegressionMetric.java,smile.validation.metric.RegressionMetric,interface,2,9,7,2,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\core\src\test\java\smile\classification\DiscreteNaiveBayesTest.java,smile.classification.DiscreteNaiveBayesTest,class,9,9,0,9,59,1,0,22,0,0.525,0.55,0.55,16,2,16,0,0,0,16,0,0,0,5,5,0,5,0,0,5,0,12,241,0,29,11,1,0,69,56,82,24,79,3,0,0,12,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\core\src\main\java\smile\validation\metric\R2.java,smile.validation.metric.R2,class,3,5,2,3,6,1,0,3,6,1.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,2,1,1,0,0,2,0,2,28,3,1,1,0,0,2,5,11,6,9,1,0,0,0,53,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\plot\src\main\java\smile\plot\swing\PlotPanel.java,smile.plot.swing.PlotPanel$ShrinkPlotAreaAction,innerclass,2,2,0,2,5,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,2,3,1,0,0,1,0,0,0,17,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\smile\core\src\main\java\smile\classification\Maxent.java,smile.classification.Maxent$Binomial,innerclass,4,4,0,4,10,3,0,6,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,8,35,4,1,1,0,3,1,16,10,11,5,1,0,0,0,68,9,0
