file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\ItemRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.ItemRenderContext$ItemEmitter,innerclass,4,4,0,4,5,3,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,29,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\vertex\builder\ChunkMeshBufferBuilder.java,net.caffeinemc.mods.sodium.client.render.chunk.vertex.builder.ChunkMeshBufferBuilder,class,6,13,7,6,16,1,0,15,0,0.6493507,0.5714286,0.75,11,0,8,3,0,0,8,0,0,0,7,0,0,7,0,0,3,0,1,62,3,0,3,0,0,2,7,11,6,7,1,0,0,0,43,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\neoforge\src\main\java\net\caffeinemc\mods\sodium\mixin\features\model\MultiPartBakedModelMixin.java,MultiPartBakedModelMixin,class,22,22,0,22,17,1,0,27,0,0.16666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,4,0,0,4,0,0,2,0,0,83,4,4,5,4,4,2,0,17,0,17,4,0,0,1,70,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\gui\options\binding\OptionBinding.java,net.caffeinemc.mods.sodium.client.gui.options.binding.OptionBinding,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\neoforge\src\main\java\net\caffeinemc\mods\sodium\neoforge\render\ForgeColorProviders.java,net.caffeinemc.mods.sodium.neoforge.render.ForgeColorProviders$ForgeFluidAdapter,innerclass,8,8,0,8,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\shader\ShaderBindingContext.java,net.caffeinemc.mods.sodium.client.render.chunk.shader.ShaderBindingContext,interface,5,11,6,5,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\util\FlawlessFrames.java,net.caffeinemc.mods.sodium.client.util.FlawlessFrames,class,0,1,1,0,3,1,0,4,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,1,22,3,0,0,0,0,0,0,3,0,5,2,0,0,2,69,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\api\java\net\caffeinemc\mods\sodium\api\util\ColorMixer.java,net.caffeinemc.mods.sodium.api.util.ColorMixer,class,3,11,8,3,6,1,0,3,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,37,6,0,0,0,92,0,74,19,68,19,0,0,0,0,141,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\chunk\terrain\DefaultTerrainRenderPasses.java,net.caffeinemc.mods.sodium.client.render.chunk.terrain.DefaultTerrainRenderPasses,class,1,1,0,1,0,1,0,3,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\mixin\features\options\render_layers\ItemBlockRenderTypesMixin.java,net.caffeinemc.mods.sodium.mixin.features.options.render_layers.ItemBlockRenderTypesMixin,class,9,9,0,9,3,1,0,2,0,0.0,-1.0,-1.0,2,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,9,1,0,0,0,0,8,1,1,0,1,0,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\mesh\EncodingFormat.java,net.caffeinemc.mods.sodium.client.render.frapi.mesh.EncodingFormat,class,5,7,2,5,18,1,0,10,40,0.8717946,0.07692308,0.10989011,13,12,0,1,0,12,14,0,0,0,39,39,5,21,0,13,39,0,4,99,12,0,2,0,28,3,27,40,44,40,0,0,0,0,89,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\workarounds\java\net\caffeinemc\mods\sodium\client\platform\NativeWindowHandle.java,net.caffeinemc.mods.sodium.client.platform.NativeWindowHandle,interface,0,9,9,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\mixin\features\render\particle\SingleQuadParticleMixin.java,net.caffeinemc.mods.sodium.mixin.features.render.particle.SingleQuadParticleMixin,class,16,17,1,16,12,2,0,28,30,0.6666667,0.035714287,0.035714287,9,0,1,1,7,0,8,5,0,0,2,2,0,2,0,0,2,0,7,71,2,0,2,1,3,4,7,35,28,31,1,0,0,0,87,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\fabric\src\main\java\net\caffeinemc\mods\sodium\fabric\render\FabricColorProviders.java,net.caffeinemc.mods.sodium.fabric.render.FabricColorProviders,class,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\render\frapi\render\AbstractBlockRenderContext.java,net.caffeinemc.mods.sodium.client.render.frapi.render.AbstractBlockRenderContext$BlockEmitter,innerclass,6,6,0,6,4,3,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\model\quad\BakedQuadView.java,net.caffeinemc.mods.sodium.client.model.quad.BakedQuadView,interface,2,3,1,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\gl\tessellation\GlTessellation.java,net.caffeinemc.mods.sodium.client.gl.tessellation.GlTessellation,interface,2,9,7,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sodium\common\src\main\java\net\caffeinemc\mods\sodium\client\model\quad\properties\ModelQuadOrientation.java,net.caffeinemc.mods.sodium.client.model.quad.properties.ModelQuadOrientation,enum,4,6,2,4,10,1,0,1,4,0.5,0.33333334,0.33333334,4,2,3,0,0,1,4,0,0,0,1,0,0,1,0,0,1,0,0,44,9,0,0,0,0,0,24,9,8,9,1,0,0,0,54,1,0
