file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-actuator-autoconfigure\src\main\java\com\alipay\sofa\boot\actuator\autoconfigure\isle\IsleEndpointAutoConfiguration.java,com.alipay.sofa.boot.actuator.autoconfigure.isle.IsleEndpointAutoConfiguration,class,10,11,1,10,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-autoconfigure\src\main\java\com\alipay\sofa\boot\autoconfigure\rpc\SofaBootRpcProperties.java,com.alipay.sofa.boot.autoconfigure.rpc.SofaBootRpcProperties,class,4,6,2,4,190,1,0,11,8187,0.9840327,0.0110222865,0.017926356,130,0,129,1,0,0,129,0,0,0,66,2,2,64,0,0,2,0,0,590,74,0,2,0,0,7,1,69,2,68,1,52,0,0,221,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-core\runtime-sofa-boot\src\main\java\com\alipay\sofa\common\xmap\DOMHelper.java,com.alipay.sofa.common.xmap.DOMHelper,class,10,18,8,10,40,1,0,18,45,0.0,0.0,0.0,10,9,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,136,9,8,22,0,0,0,5,30,2,22,5,0,2,0,57,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-tests\sofa-boot-smoke-tests\sofa-boot-smoke-tests-rpc\src\main\java\com\alipay\sofa\smoke\tests\rpc\boot\bean\generic\GenericResultModel.java,com.alipay.sofa.smoke.tests.rpc.boot.bean.generic.GenericResultModel,class,0,3,3,0,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot\src\test\java\com\alipay\sofa\boot\startup\StartupReporterBeanPostProcessorTests.java,com.alipay.sofa.boot.startup.StartupReporterBeanPostProcessorTests,class,5,5,0,5,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,4,0,3,0,0,1,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-core\runtime-sofa-boot\src\main\java\com\alipay\sofa\common\xmap\XAnnotatedObject.java,com.alipay.sofa.common.xmap.Sorter,class,1,2,1,1,5,1,0,2,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,15,1,1,2,0,0,0,1,6,1,6,1,0,0,0,14,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-tests\sofa-boot-smoke-tests\sofa-boot-smoke-tests-rpc\src\test\java\com\alipay\sofa\smoke\tests\rpc\reference\ReferenceTests.java,com.alipay.sofa.smoke.tests.rpc.reference.ReferenceTests$ReferenceConfiguration,innerclass,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-core\rpc-sofa-boot\src\main\java\com\alipay\sofa\rpc\boot\config\RegistryConfigureProcessor.java,com.alipay.sofa.rpc.boot.config.RegistryConfigureProcessor,interface,1,13,12,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-tests\sofa-boot-smoke-tests\sofa-boot-smoke-tests-test\src\main\java\com\alipay\sofa\smoke\tests\test\mock\injector\ExampleService.java,com.alipay.sofa.smoke.tests.test.mock.injector.ExampleService,interface,0,10,10,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-actuator\src\test\java\com\alipay\sofa\boot\actuator\isle\IsleEndpointTests.java,com.alipay.sofa.boot.actuator.isle.IsleEndpointTests,class,11,11,0,11,2,1,0,34,0,0.125,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,2,46,0,0,0,0,0,14,12,7,0,10,0,0,0,0,38,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-autoconfigure\src\main\java\com\alipay\sofa\boot\autoconfigure\tracer\datasource\DataSourceAutoConfiguration.java,com.alipay.sofa.boot.autoconfigure.tracer.datasource.DataSourceAutoConfiguration,class,8,9,1,8,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,2,0,2,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-core\runtime-sofa-boot\src\main\java\com\alipay\sofa\common\xmap\XAnnotatedContent.java,com.alipay.sofa.common.xmap.XAnnotatedContent,class,16,17,1,16,8,2,0,18,3,0.6666667,0.0,0.0,3,0,2,0,1,0,4,0,0,0,1,1,0,1,0,0,1,0,2,35,3,0,3,0,1,3,0,10,0,6,1,0,0,0,46,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-project\sofa-boot-core\isle-sofa-boot\src\main\java\com\alipay\sofa\boot\isle\deployment\DeploymentDescriptorConfiguration.java,com.alipay.sofa.boot.isle.deployment.DeploymentDescriptorConfiguration,class,0,11,11,0,3,1,0,0,0,0.8518519,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,9,7,7,2,0,0,2,0,0,21,2,0,0,0,0,7,0,9,0,9,0,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\sofa-boot\sofa-boot-tests\sofa-boot-smoke-tests\sofa-boot-smoke-tests-ark\src\test\java\com\alipay\sofa\smoke\tests\ark\ArkTestBase.java,com.alipay.sofa.smoke.tests.ark.ArkTestBase,class,7,8,1,7,2,1,1,2,1,1.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,10,0,0,0,0,0,3,0,0,0,2,0,0,0,0,20,1,0
