file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\lib-extra\src\main\java\com\diffplug\spotless\extra\groovy\GrEclipseFormatterStep.java,com.diffplug.spotless.extra.groovy.GrEclipseFormatterStep,class,9,15,6,9,7,1,0,17,0,0.375,0.0,0.0,4,3,2,2,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,67,4,0,1,1,2,5,2,7,0,8,2,1,0,1,49,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\testlib\src\test\java\com\diffplug\spotless\java\PalantirJavaFormatStepTest.java,com.diffplug.spotless.java.PalantirJavaFormatStepTest$Anonymous1,anonymous,3,3,0,3,2,1,0,3,0,0.0,1.0,1.0,2,0,0,0,2,0,2,0,0,0,3,0,0,0,0,3,0,0,1,21,1,0,0,0,0,6,0,10,0,4,0,0,0,0,17,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\pom\SortPom.java,com.diffplug.spotless.maven.pom.SortPom,class,5,6,1,5,1,1,0,2,0,0.045454547,NaN,NaN,1,0,1,0,0,0,1,0,0,0,22,0,0,1,0,21,1,0,0,49,1,0,0,0,0,0,0,44,0,23,0,0,0,0,50,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\GitRatchetMaven.java,com.diffplug.spotless.maven.GitRatchetMaven,class,6,8,2,6,13,2,0,27,8,0.6,0.0,0.0,5,1,0,1,2,2,4,0,0,0,1,1,0,1,0,0,0,0,3,49,4,2,2,0,0,0,0,8,0,8,3,0,0,1,39,16,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\plugin-gradle\src\main\java\com\diffplug\gradle\spotless\IdeHook.java,com.diffplug.gradle.spotless.IdeHook$State,innerclass,3,3,0,3,2,2,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,16,0,0,1,0,0,0,0,5,0,3,1,0,0,0,22,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\testlib\src\test\java\com\diffplug\spotless\rdf\RdfFormatterTest.java,com.diffplug.spotless.rdf.RdfFormatterTest,class,10,11,1,10,17,2,0,41,45,0.0,0.0,0.0,10,5,1,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,22,67,6,3,0,1,0,21,3,15,1,21,2,0,0,7,79,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,innerclass,5,5,0,5,17,1,0,10,0,0.57500005,0.53333336,1.0,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,3,0,1,71,9,1,4,0,1,19,6,8,5,10,4,0,0,1,50,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\plugin-gradle\src\test\java\com\diffplug\gradle\spotless\BiomeIntegrationTest.java,com.diffplug.gradle.spotless.BiomeIntegrationTest,class,2,2,0,2,17,3,0,21,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,2,0,0,291,4,17,2,17,0,0,0,0,136,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\plugin-gradle\src\test\java\com\diffplug\gradle\spotless\IdeHookTest.java,com.diffplug.gradle.spotless.IdeHookTest,class,8,9,1,8,12,3,0,25,0,0.6296296,0.6666667,0.71428573,9,1,0,2,1,6,7,0,0,0,2,0,0,2,0,0,0,0,1,70,3,0,0,1,0,58,0,12,4,12,2,0,0,0,52,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spotless\testlib\src\test\java\com\diffplug\spotless\go\GofmtFormatStepTest.java,com.diffplug.spotless.go.GofmtFormatStepTest,class,5,5,0,5,1,2,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,3,0,1,0,1,1,0,0,0,9,1,0
