file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\test\java\de\codecentric\boot\admin\server\domain\entities\EventsourcingInstanceRepositoryTest.java,de.codecentric.boot.admin.server.domain.entities.EventsourcingInstanceRepositoryTest,class,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\test\java\de\codecentric\boot\admin\server\web\client\InstanceExchangeFilterFunctionsTest.java,de.codecentric.boot.admin.server.web.client.InstanceExchangeFilterFunctionsTest$AddHeaders,innerclass,7,7,0,7,1,1,0,16,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,17,2,0,0,0,0,3,1,4,0,6,1,0,0,2,28,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\notify\RocketChatNotifier.java,de.codecentric.boot.admin.server.notify.RocketChatNotifier,class,15,18,3,15,17,3,0,19,72,0.8203125,0.20952381,0.75238097,16,0,12,1,3,0,15,0,0,0,8,1,0,8,0,0,2,0,2,78,9,0,1,0,0,12,0,15,0,13,1,0,0,1,87,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\notify\WebexNotifier.java,de.codecentric.boot.admin.server.notify.WebexNotifier,class,16,19,3,16,14,3,0,19,42,0.8290599,0.23076923,0.61538464,13,0,10,0,3,0,13,0,0,0,9,3,0,9,0,0,4,0,1,67,8,0,1,0,0,9,0,16,0,13,1,0,0,1,131,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server-ui\src\test\java\de\codecentric\boot\admin\server\ui\AdminUiServletApplicationTest.java,de.codecentric.boot.admin.server.ui.AdminUiServletApplicationTest$TestAdminApplication,innerclass,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-samples\spring-boot-admin-sample-war\src\main\java\de\codecentric\boot\admin\sample\SpringBootAdminWarApplication.java,de.codecentric.boot.admin.sample.SpringBootAdminWarApplication,class,5,6,1,5,2,2,0,1,1,0.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,2,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\domain\values\Info.java,de.codecentric.boot.admin.server.domain.values.Info,class,3,19,16,3,7,1,0,4,0,0.5,0.33333334,0.33333334,4,2,3,1,0,0,3,0,0,0,2,1,0,2,0,0,2,0,4,24,4,0,1,0,0,0,0,3,0,2,1,0,0,0,21,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\test\java\de\codecentric\boot\admin\server\utils\jackson\InstanceInfoChangedEventMixinTest.java,de.codecentric.boot.admin.server.utils.jackson.InstanceInfoChangedEventMixinTest,class,11,11,0,11,8,1,0,31,2,0.5,0.4642857,0.4642857,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,1,0,17,81,0,0,0,0,0,68,23,24,0,25,0,0,0,0,49,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\domain\values\StatusInfo.java,de.codecentric.boot.admin.server.domain.values.StatusInfo,class,3,41,38,3,20,1,0,13,66,0.86274505,0.16666667,0.375,17,11,16,1,0,0,16,0,0,0,9,7,6,3,0,0,9,0,14,71,16,0,1,0,1,13,0,12,0,10,1,0,0,0,50,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\config\AdminServerCloudFoundryAutoConfiguration.java,de.codecentric.boot.admin.server.config.AdminServerCloudFoundryAutoConfiguration,class,11,12,1,11,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
