file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-test\src\main\java\cn\javastack\springboot\test\service\UserService.java,cn.javastack.springboot.test.service.UserService,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-web\src\main\java\cn\javastack\springboot\web\servlet\RegisterServlet.java,cn.javastack.springboot.web.servlet.RegisterServlet,class,3,4,1,3,1,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,2,2,2,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-redis\src\main\java\cn\javastack\springboot\redis\config\RedisConfig.java,cn.javastack.springboot.redis.config.RedisConfig,class,15,16,1,15,8,1,0,15,28,0.0,0.0,0.0,8,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,2,0,4,0,4,0,0,0,0,32,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-elasticsearch\src\main\java\cn\javastack\springboot\es\User.java,cn.javastack.springboot.es.User,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-properties\src\main\java\cn\javastack\springboot\properties\config\Configuration1.java,cn.javastack.springboot.properties.config.Configuration1,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,1,1,0,0,1,6,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-properties\src\main\java\cn\javastack\springboot\properties\config\Configuration2.java,cn.javastack.springboot.properties.config.Configuration2,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,1,1,0,0,1,6,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-properties\src\main\java\cn\javastack\springboot\properties\props\JavastackProperties.java,cn.javastack.springboot.properties.props.Security,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-session\src\main\java\cn\javastack\springboot\session\WebConfig.java,cn.javastack.springboot.session.WebConfig,class,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-webflux\src\main\java\cn\javastack\springboot\webflux\Application.java,cn.javastack.springboot.webflux.Application,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-aop\src\main\java\cn\javastack\springboot\aop\Application.java,cn.javastack.springboot.aop.Application,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-boot-best-practice\spring-boot-web\src\main\java\cn\javastack\springboot\web\servlet\InitServlet.java,cn.javastack.springboot.web.servlet.InitServlet,class,3,3,0,3,1,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,2,2,2,0,0,0,0,15,1,0
