file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-interface\spring-interface-instantiationAwareBeanPostProcessor\src\main\java\com\xcs\spring\service\DataBaseImpl.java,com.xcs.spring.service.DataBaseImpl,class,3,3,0,3,7,1,0,1,15,0.7142857,0.14285715,0.14285715,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,3,0,0,0,0,3,0,3,0,3,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-beans\spring-bean-beanDefinition\src\main\java\com\xcs\spring\BeanDefinitionDemo.java,com.xcs.spring.BeanDefinitionDemo,class,7,8,1,7,2,1,0,19,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,0,0,0,13,0,5,1,5,0,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-jsr\spring-jsr330-provider\src\main\java\com\xcs\spring\ProviderApplication.java,com.xcs.spring.ProviderApplication,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-spel\spring-spel-evaluationContext\src\main\java\com\xcs\spring\EvaluationContextDemo.java,com.xcs.spring.EvaluationContextDemo$MyRootObject,innerclass,0,0,0,0,3,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-transaction\spring-transaction-enableTransactionManagement\src\main\java\com\xcs\spring\ScoresServiceImpl.java,com.xcs.spring.ScoresServiceImpl,class,5,8,3,5,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,9,0,0,0,0,0,2,1,3,1,4,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-aware\spring-aware-environmentAware\src\main\java\com\xcs\spring\config\MyEnvironmentAware.java,com.xcs.spring.config.MyEnvironmentAware,class,2,3,1,2,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-annotation\spring-annotation-autowired\src\main\java\com\xcs\spring\controller\MyController.java,com.xcs.spring.controller.MyController,class,3,10,7,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-aop\spring-aop-methodMatcher\src\main\java\com\xcs\spring\MethodMatcherDemo.java,com.xcs.spring.MethodMatcherDemo,class,6,6,0,6,1,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,6,4,6,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-aop\spring-aop-advisorAdapter\src\main\java\com\xcs\spring\AdvisorAdapterDemo.java,com.xcs.spring.AdvisorAdapterDemo,class,4,4,0,4,1,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,2,2,2,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\spring-reading\spring-jsr\spring-jsr330-inject\src\main\java\com\xcs\spring\InjectApplication.java,com.xcs.spring.InjectApplication,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
