file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\api\src\main\java\io\strimzi\api\kafka\model\user\KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,class,11,15,4,11,5,1,3,2,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,13,1,0,2,0,0,2,1,1,0,1,1,0,0,0,17,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\user-operator\src\test\java\io\strimzi\operator\user\operator\cache\ScramShaCredentialsCacheTest.java,io.strimzi.operator.user.operator.cache.ScramShaCredentialsCacheTest,class,5,5,0,5,3,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,7,4,7,0,9,2,0,0,2,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\api\src\main\java\io\strimzi\api\kafka\model\connect\build\ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,class,8,10,2,8,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,7,0,0,2,0,0,0,0,0,40,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\cluster-operator\src\test\java\io\strimzi\operator\cluster\model\KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,class,24,24,0,24,42,1,0,89,0,0.3866667,1.0,1.0,15,0,15,0,0,0,15,0,0,0,10,10,0,10,0,0,10,0,51,272,0,13,0,0,0,172,61,90,4,85,3,0,0,10,102,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\kafkaclients\internalClients\admin\KafkaAdminException.java,io.strimzi.systemtest.kafkaclients.internalClients.admin.KafkaAdminException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\systemtest\src\test\java\io\strimzi\systemtest\tracing\OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,class,32,33,1,32,7,2,0,101,7,0.5714286,0.4,0.4,7,0,0,1,0,6,6,0,0,0,2,1,0,2,0,0,2,0,60,107,1,0,0,0,8,45,40,18,9,18,0,0,0,1,63,1,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\systemtest\src\main\java\io\strimzi\systemtest\utils\VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,class,17,24,7,17,34,1,0,98,15,0.33333334,0.5769231,0.5769231,15,15,13,2,0,0,13,0,0,0,1,1,0,1,0,0,1,0,41,204,2,3,9,0,0,64,11,35,9,56,2,0,0,23,280,1,22
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\operator-common\src\main\java\io\strimzi\operator\common\model\Ca.java,io.strimzi.operator.common.model.Ca,class,18,26,8,18,108,1,3,133,378,0.8948697,0.21401516,0.6155303,41,6,26,8,5,2,33,2,0,0,29,14,11,4,14,0,22,0,102,573,36,1,27,18,1,92,18,121,23,90,4,0,2,0,400,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\operator-common\src\main\java\io\strimzi\operator\common\model\ResourceVisitor.java,io.strimzi.operator.common.model.ResourceVisitor,class,8,10,2,8,30,1,0,31,6,0.75,0.0,0.0,4,4,1,2,0,1,2,0,0,0,4,4,0,4,0,0,4,0,9,117,1,4,5,1,0,4,7,16,3,14,4,1,3,0,76,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\topic-operator\src\test\java\io\strimzi\operator\topic\model\EitherTest.java,io.strimzi.operator.topic.model.EitherTest,class,2,2,0,2,5,1,0,16,0,0.0,1.0,1.0,5,0,0,0,0,5,5,0,0,0,2,0,0,2,0,0,2,0,14,42,0,0,0,0,0,9,15,6,3,10,0,0,0,4,23,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\strimzi-kafka-operator\cluster-operator\src\test\java\io\strimzi\operator\cluster\operator\assembly\KafkaConnectRollerTest.java,io.strimzi.operator.cluster.operator.assembly.KafkaConnectRollerTest,class,25,26,1,25,15,1,0,67,0,0.6642857,0.8333333,0.8333333,14,2,12,2,0,0,12,0,0,0,10,10,0,10,0,0,10,0,38,170,4,0,0,0,0,88,29,56,0,70,2,0,0,20,99,1,0
