file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\fragments\dialog\ExternalVersioningFragment.java,com.nutomic.syncthingandroid.fragments.dialog.ExternalVersioningFragment$Anonymous1,anonymous,2,2,0,2,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\activities\FirstStartActivity.java,com.nutomic.syncthingandroid.activities.FirstStartActivity$Slide,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\activities\VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,class,13,16,3,13,16,3,0,34,16,0.6666667,0.0,0.0,9,0,1,6,2,0,3,0,0,0,4,1,0,4,0,0,1,0,1,88,1,0,2,0,0,10,5,14,0,8,1,1,0,1,56,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\model\RemoteIgnoredDevice.java,com.nutomic.syncthingandroid.model.RemoteIgnoredDevice,class,0,2,2,0,2,1,0,2,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,9,1,0,0,0,1,4,2,4,0,4,0,0,0,0,19,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\views\FoldersAdapter.java,com.nutomic.syncthingandroid.views.FoldersAdapter,class,15,17,2,15,29,2,0,39,13,0.7142857,0.33333334,0.33333334,7,1,3,4,0,0,3,0,0,0,3,1,0,3,0,0,3,0,4,126,9,1,5,0,2,17,6,14,4,16,3,0,0,2,84,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\service\SyncthingRunnable.java,com.nutomic.syncthingandroid.service.SyncthingRunnable$OnSyncthingKilled,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\fragments\NumberPickerFragment.java,com.nutomic.syncthingandroid.fragments.NumberPickerFragment,class,8,11,3,8,3,2,0,6,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\activities\ShareActivity.java,com.nutomic.syncthingandroid.activities.ShareActivity$CopyFilesTask,innerclass,6,6,0,6,16,2,0,22,0,0.42857143,1.0,1.0,4,0,0,0,3,1,4,0,0,0,6,0,0,6,0,0,3,0,3,68,3,1,3,2,0,3,3,16,0,13,4,0,0,0,52,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\model\IgnoredFolder.java,com.nutomic.syncthingandroid.model.IgnoredFolder,class,0,2,2,0,2,1,0,2,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,8,1,0,0,0,1,3,2,3,0,3,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\syncthing-android\app\src\main\java\com\nutomic\syncthingandroid\activities\PullOrderDialogActivity.java,com.nutomic.syncthingandroid.activities.PullOrderDialogActivity,class,6,8,2,6,6,3,0,20,0,0.64,0.0,0.0,5,0,1,3,1,0,2,0,0,0,5,3,2,3,0,0,3,0,1,46,0,0,1,0,0,8,0,6,0,7,1,1,0,1,52,1,0
