file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree$Node,innerclass,1,1,0,1,7,1,0,3,11,0.6666667,0.23809524,0.23809524,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,28,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\linked_list_push.java,Node,innerclass,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\MinHeap.java,practice.MinHeap,class,1,1,0,1,3,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,57,0,1,1,0,0,0,2,5,0,5,2,0,1,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Algorithm\code\mergeSort.java,mergeSort,class,2,3,1,2,13,1,0,4,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,57,3,6,1,0,2,2,15,22,9,15,2,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Algorithm\code\Heap.java,Heap,class,2,3,1,2,13,1,0,1,0,0.33333334,1.0,1.0,4,4,0,0,0,4,4,0,0,0,2,2,0,0,0,2,0,0,4,50,2,2,1,0,0,0,30,16,21,7,4,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\linked_list_push.java,LinkedList,class,2,3,1,2,9,1,0,6,0,0.2,0.0,0.0,5,1,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,54,3,2,4,0,0,3,5,15,1,7,1,0,1,0,24,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\linked_list.java,LinkedList$Node,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Algorithm\code\QuickSort.java,QuickSort,class,2,3,1,2,8,1,0,3,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,4,27,1,3,0,0,1,0,17,7,7,5,3,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\binarySearchTree.java,binarySearchTree,class,2,3,1,2,35,1,0,12,0,0.14285715,0.47619048,0.47619048,7,1,7,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,188,8,4,21,0,0,7,16,31,5,13,3,0,1,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tech-interview-for-developer\Computer Science\Data Structure\code\MaxHeap.java,practice.MaxHeap$maxHeap,innerclass,0,0,0,0,10,1,0,5,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,42,2,2,0,0,3,0,26,12,19,8,2,0,0,0,11,9,0
