file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\core\src\main\java\org\testcontainers\images\builder\traits\FilesTrait.java,org.testcontainers.images.builder.traits.FilesTrait,interface,4,10,6,4,4,1,0,4,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,15,4,0,0,0,1,0,0,1,0,1,0,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\modules\mysql\src\main\java\org\testcontainers\containers\MySQLContainerProvider.java,org.testcontainers.containers.MySQLContainerProvider,class,5,6,1,5,5,2,0,6,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,0,21,5,0,1,0,0,2,0,2,0,2,1,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\modules\mssqlserver\src\main\java\org\testcontainers\containers\MSSQLR2DBCDatabaseContainer.java,org.testcontainers.containers.MSSQLR2DBCDatabaseContainer,class,7,10,3,7,2,1,0,9,0,0.0,1.0,1.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,2,0,0,0,0,0,0,1,0,2,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\modules\activemq\src\main\java\org\testcontainers\activemq\ActiveMQContainer.java,org.testcontainers.activemq.ActiveMQContainer,class,6,8,2,6,10,3,0,11,14,0.8055556,0.25,0.39285713,8,0,7,0,1,0,8,0,0,0,9,7,0,9,0,0,7,0,5,45,5,0,2,0,0,5,8,9,0,9,1,0,0,0,49,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\core\src\main\java\org\testcontainers\DelegatingDockerClient.java,org.testcontainers.DelegatingDockerClient,class,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\core\src\test\java\org\testcontainers\junit\ComposeContainerOverrideTest.java,org.testcontainers.junit.ComposeContainerOverrideTest,class,3,3,0,3,2,1,0,10,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,18,0,0,0,2,0,8,2,6,0,6,1,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\modules\consul\src\test\java\org\testcontainers\consul\ConsulContainerTest.java,org.testcontainers.consul.ConsulContainerTest,class,9,10,1,9,4,1,0,28,0,0.25,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,1,31,1,0,0,0,0,18,1,8,2,12,1,0,0,2,67,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\modules\db2\src\test\java\org\testcontainers\Db2TestImages.java,org.testcontainers.Db2TestImages,interface,1,1,0,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\core\src\main\java\org\testcontainers\Testcontainers.java,org.testcontainers.Testcontainers,class,3,5,2,3,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\testcontainers-java\modules\cassandra\src\main\java\org\testcontainers\cassandra\delegate\CassandraDatabaseDelegate.java,org.testcontainers.cassandra.delegate.CassandraDatabaseDelegate,class,7,9,2,7,8,2,0,12,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,42,1,0,1,1,0,8,1,11,0,8,3,0,0,0,43,1,3
