file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\jwt\JwtHmacParametersTest.java,com.google.crypto.tink.jwt.JwtHmacParametersTest,class,4,4,0,4,9,1,0,16,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,15,13,0,13,0,0,0,0,31,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\signature\Ed25519PublicKey.java,com.google.crypto.tink.signature.Ed25519PublicKey,class,12,24,12,12,19,2,0,11,0,0.5277778,0.42857143,0.71428573,9,3,7,2,0,0,7,0,0,0,4,0,0,4,0,0,4,0,6,59,11,0,7,0,1,14,1,6,3,6,1,0,0,0,65,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\hybrid\internal\HpkeContext.java,com.google.crypto.tink.hybrid.internal.HpkeContext,class,13,17,4,13,16,1,0,30,0,0.6857143,0.5777778,0.8,15,6,6,5,0,4,10,0,0,1,7,1,0,7,0,0,6,0,7,82,13,0,0,0,0,9,3,27,1,26,1,0,0,0,121,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\subtle\ChaCha20.java,com.google.crypto.tink.subtle.ChaCha20,class,4,5,1,4,4,1,0,8,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,1,0,1,0,1,2,0,4,22,2,0,0,0,0,1,1,6,2,6,1,0,0,0,58,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\signature\internal\testing\SignatureTestVector.java,com.google.crypto.tink.signature.internal.testing.SignatureTestVector,class,4,8,4,4,4,1,0,2,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\hybrid\EciesAeadHkdfHybridEncryptTest.java,com.google.crypto.tink.hybrid.EciesAeadHkdfHybridEncryptTest,class,23,24,1,23,10,1,0,38,4,0.5,0.0,0.0,4,1,2,2,0,0,2,0,1,0,3,3,0,3,0,0,3,0,8,55,3,1,3,0,0,8,12,18,1,18,2,0,0,3,73,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\PublicKeyVerify.java,com.google.crypto.tink.PublicKeyVerify,interface,1,15,14,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\aead\XChaCha20Poly1305Key.java,com.google.crypto.tink.aead.XChaCha20Poly1305Key,class,13,19,6,13,18,3,0,10,2,0.5833333,0.23809524,0.47619048,9,3,7,2,0,0,7,0,0,0,4,0,0,4,0,0,4,0,6,59,11,0,8,0,1,14,1,6,3,6,1,0,0,0,91,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\hybrid\HybridEncryptWrapper.java,com.google.crypto.tink.hybrid.HybridEncryptWrapper$WrappedHybridEncrypt,innerclass,9,9,0,9,5,1,0,11,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,2,0,2,30,1,0,1,1,0,3,0,6,0,5,1,0,0,0,22,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\KeysetManagerTest.java,com.google.crypto.tink.KeysetManagerTest,class,21,32,11,21,67,1,0,79,1750,0.9166667,0.007541478,0.007541478,60,1,52,8,0,0,52,0,0,0,1,0,1,0,0,0,1,0,41,588,4,3,0,4,0,80,153,215,7,211,1,12,0,26,110,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\daead\AesSivParametersTest.java,com.google.crypto.tink.daead.AesSivParametersTest,class,5,5,0,5,9,1,0,14,2,0.6296297,0.4722222,0.7777778,9,0,9,0,0,0,9,0,0,0,3,3,0,3,0,0,3,0,0,56,0,0,0,0,0,0,16,13,0,11,0,0,0,4,55,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\StreamingAead.java,com.google.crypto.tink.StreamingAead,interface,1,16,15,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\aead\internal\AesEaxProtoSerialization.java,com.google.crypto.tink.aead.internal.AesEaxProtoSerialization,class,21,23,2,21,23,1,0,66,33,0.86666673,0.0,0.0,10,9,2,8,0,0,2,0,0,0,6,6,0,6,0,0,6,0,21,85,11,0,2,2,0,12,4,9,4,9,2,0,0,0,77,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\internal\KeySerializer.java,com.google.crypto.tink.internal.KeySerializer$Anonymous1,anonymous,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\hybrid\internal\testing\EciesAeadHkdfTestUtil.java,com.google.crypto.tink.hybrid.internal.testing.EciesAeadHkdfTestUtil,class,17,18,1,17,20,1,0,49,190,0.0,0.0,0.0,20,19,15,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,100,103,19,0,0,0,0,60,79,42,20,42,0,0,0,1,73,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\mac\MacKey.java,com.google.crypto.tink.mac.MacKey,class,3,5,2,3,2,2,2,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\signature\EcdsaVerifyKeyManagerTest.java,com.google.crypto.tink.signature.EcdsaVerifyKeyManagerTest,class,15,16,1,15,10,1,0,42,13,0.6666667,0.0,0.0,6,1,4,2,0,0,4,0,0,0,1,0,0,0,0,1,1,0,4,92,2,4,0,0,0,34,4,32,11,32,2,0,2,2,74,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\streamingaead\internal\AesGcmHkdfStreamingProtoSerializationTest.java,com.google.crypto.tink.streamingaead.internal.AesGcmHkdfStreamingProtoSerializationTest,class,18,19,1,18,22,1,0,35,0,0.72023815,0.9,0.9,21,2,20,1,0,0,20,0,0,0,8,8,2,6,0,0,8,0,1,165,1,0,0,1,0,19,156,84,34,84,1,0,0,2,92,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\subtle\EngineFactory.java,com.google.crypto.tink.subtle.EngineFactory$FipsPolicy,innerclass,5,5,0,5,6,1,0,3,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,24,2,1,1,1,0,4,0,4,0,3,3,0,0,0,40,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\test\java\com\google\crypto\tink\internal\MutableKeyDerivationRegistryTest.java,com.google.crypto.tink.internal.MutableKeyDerivationRegistryTest,class,14,14,0,14,8,1,0,14,2,0.5416667,0.0,0.0,8,3,5,3,0,0,5,0,0,0,3,3,0,3,0,0,3,0,2,50,3,0,0,0,0,0,54,16,0,16,0,0,0,2,68,17,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\jwt\RawJwt.java,com.google.crypto.tink.jwt.RawJwt$Builder,innerclass,9,9,0,9,38,1,0,14,0,0.6984127,0.45614034,0.45614034,21,0,19,2,0,0,19,0,0,0,3,0,0,3,0,0,1,0,18,145,19,1,0,0,2,9,1,10,1,7,2,0,0,0,154,25,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\tink\java_src\src\main\java\com\google\crypto\tink\config\internal\TinkFipsUtil.java,com.google.crypto.tink.config.internal.TinkFipsUtil$AlgorithmFipsCompatibility$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
