file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\PacificTrackProtocol.java,org.traccar.protocol.PacificTrackProtocol$Anonymous1,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\Pt60ProtocolDecoder.java,org.traccar.protocol.Pt60ProtocolDecoder,class,11,13,2,11,17,2,0,39,1,0.33333334,0.0,0.0,3,0,1,1,1,0,2,0,0,0,5,5,4,1,0,0,5,0,15,99,6,1,8,0,0,22,22,22,3,21,3,0,0,0,69,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\MotorProtocolDecoderTest.java,org.traccar.protocol.MotorProtocolDecoderTest,class,3,3,0,3,1,3,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\VisiontekProtocol.java,org.traccar.protocol.VisiontekProtocol$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\StringProtocolEncoder.java,org.traccar.StringProtocolEncoder,class,5,15,10,5,9,2,8,9,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,34,2,1,4,0,0,1,1,9,0,4,3,0,1,0,19,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\TechTltProtocol.java,org.traccar.protocol.TechTltProtocol$Anonymous1,anonymous,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\HunterProProtocolDecoderTest.java,org.traccar.protocol.HunterProProtocolDecoderTest,class,3,3,0,3,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\GalileoFrameDecoder.java,org.traccar.protocol.GalileoFrameDecoder,class,4,5,1,4,5,2,0,7,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,19,3,0,2,0,1,0,9,3,5,2,1,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\VtfmsProtocol.java,org.traccar.protocol.VtfmsProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\BstplProtocol.java,org.traccar.protocol.BstplProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\Pt502FrameDecoderTest.java,org.traccar.protocol.Pt502FrameDecoderTest,class,3,3,0,3,1,3,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,0,1,0,1,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\WondexFrameDecoderTest.java,org.traccar.protocol.WondexFrameDecoderTest,class,3,3,0,3,1,3,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,1,0,1,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\geocoder\BingMapsGeocoder.java,org.traccar.geocoder.BingMapsGeocoder,class,6,6,0,6,11,2,0,12,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,2,0,0,19,2,3,1,3,3,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\AvemaProtocol.java,org.traccar.protocol.AvemaProtocol$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\At2000ProtocolDecoderTest.java,org.traccar.protocol.At2000ProtocolDecoderTest,class,3,3,0,3,1,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,11,0,5,0,1,0,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\PretraceProtocolEncoder.java,org.traccar.protocol.PretraceProtocolEncoder,class,3,4,1,3,3,2,0,4,3,0.0,0.0,0.0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,1,0,2,1,2,0,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\TramigoProtocol.java,org.traccar.protocol.TramigoProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\MeiligaoProtocolEncoderTest.java,org.traccar.protocol.MeiligaoProtocolEncoderTest,class,4,4,0,4,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,7,3,2,0,2,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\Pt502Protocol.java,org.traccar.protocol.Pt502Protocol,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\AutoGradeProtocol.java,org.traccar.protocol.AutoGradeProtocol$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\HuabaoFrameDecoder.java,org.traccar.protocol.HuabaoFrameDecoder,class,4,6,2,4,21,2,0,10,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,4,1,15,0,1,0,27,8,5,8,5,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\StartekProtocolDecoder.java,org.traccar.protocol.StartekProtocolDecoder,class,9,11,2,9,26,2,0,45,6,0.6,0.0,0.0,5,0,1,3,1,0,2,0,0,0,2,2,0,2,0,0,2,0,19,181,7,4,2,0,1,67,64,62,14,27,3,0,0,0,65,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\MegastekFrameDecoderTest.java,org.traccar.protocol.MegastekFrameDecoderTest,class,3,3,0,3,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,1,0,1,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\config\ConfigSuffix.java,org.traccar.config.BooleanConfigSuffix,class,4,5,1,4,3,2,0,0,3,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\ArmoliProtocol.java,org.traccar.protocol.ArmoliProtocol,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\protocol\Xexun2ProtocolEncoderTest.java,org.traccar.protocol.Xexun2ProtocolEncoderTest,class,4,4,0,4,1,3,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,3,3,0,2,0,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\reports\model\StopReportItem.java,org.traccar.reports.model.StopReportItem,class,1,3,2,1,12,2,0,0,34,0.76388884,0.09090909,0.09090909,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,20,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\mail\LogMailManager.java,org.traccar.mail.LogMailManager,class,5,7,2,5,4,1,0,5,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,1,0,1,0,0,1,0,1,0,1,0,0,0,0,24,1,1
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\test\java\org\traccar\reports\ReportUtilsTest.java,org.traccar.reports.ReportUtilsTest,class,13,14,1,13,15,2,0,38,1,0.2857143,0.8181818,0.8181818,14,0,11,3,0,0,11,0,0,0,1,0,0,1,0,0,0,0,10,211,3,0,0,0,0,92,213,64,0,59,0,0,0,0,65,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\traccar\src\main\java\org\traccar\protocol\EasyTrackProtocol.java,org.traccar.protocol.EasyTrackProtocol,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0
