file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\core\NovelSearcher.java,com.unclezs.novel.app.main.core.NovelSearcher,class,9,12,3,9,19,1,0,31,0,0.45833337,1.0,1.0,6,0,5,1,0,0,5,0,0,3,8,1,0,8,0,0,4,0,4,101,2,1,2,1,0,3,2,14,0,12,5,0,1,5,39,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\core\webdav\WebDav.java,com.unclezs.novel.app.main.core.webdav.WebDav,class,11,13,2,11,27,1,0,32,57,0.7833333,0.27272728,0.54545456,15,2,12,3,0,0,12,0,0,0,8,3,3,5,0,0,3,0,1,118,13,0,4,4,0,22,0,21,3,18,3,0,0,0,58,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\views\components\BookDetailModal.java,com.unclezs.novel.app.main.views.components.BookDetailModal$Action,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app-framework\src\main\java\com\unclezs\novel\app\framework\util\ColorUtil.java,com.unclezs.novel.app.framework.util.ColorUtil,class,2,3,1,2,8,1,0,10,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,22,6,0,1,0,0,3,4,0,3,0,1,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\views\components\setting\ProxySetting.java,com.unclezs.novel.app.main.views.components.setting.ProxySetting,class,18,19,1,18,5,3,0,50,6,0.75,NaN,NaN,4,3,1,3,0,0,1,0,0,0,2,2,2,0,0,0,2,0,18,74,2,0,1,0,0,20,4,19,0,30,2,0,0,12,54,1,3
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app-framework\src\main\java\com\unclezs\novel\app\framework\util\NodeHelper.java,com.unclezs.novel.app.framework.util.NodeHelper,class,6,46,40,6,10,1,0,6,6,0.75,0.0,0.0,4,4,4,0,0,0,4,0,0,0,2,2,2,0,0,0,2,0,1,37,6,0,6,0,0,5,0,4,0,4,1,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\views\home\ImportBookView.java,com.unclezs.novel.app.main.views.home.ImportBookView,class,35,37,2,35,34,3,0,96,19,0.78571427,0.6666667,1.0,14,0,4,10,0,0,4,0,0,0,14,2,3,11,0,0,4,0,19,188,6,1,5,1,0,24,11,27,3,40,3,0,0,9,102,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\buildSrc\src\main\java\com\unclezs\novel\app\packager\model\LauncherConfig.java,com.unclezs.novel.app.packager.model.LauncherConfig,class,6,10,4,6,7,2,0,9,10,0.91999996,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,1,0,0,26,0,0,2,0,0,0,0,5,0,6,1,0,0,0,30,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\views\components\setting\SettingItem.java,com.unclezs.novel.app.main.views.components.setting.SettingItem,class,6,8,2,6,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,9,0,0,0,0,0,5,0,2,0,3,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\uncle-novel\app\src\main\java\com\unclezs\novel\app\main\views\home\RuleEditorView.java,com.unclezs.novel.app.main.views.home.RuleEditorView$Anonymous2,anonymous,3,3,0,3,4,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,7,-1,0
