file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\server\protocol\http\PipeliningBufferingStreamSinkConduit.java,io.undertow.server.protocol.http.PipeliningBufferingStreamSinkConduit$Anonymous1,anonymous,4,4,0,4,4,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,2,0,0,0,18,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\server\handlers\proxy\mod_cluster\VirtualHost.java,io.undertow.server.handlers.proxy.mod_cluster.VirtualHost$HostEntry,innerclass,2,2,0,2,5,1,0,5,2,0.5,0.4,0.4,5,0,0,0,4,1,5,0,0,0,2,0,0,2,0,0,2,0,2,19,4,0,0,0,0,0,0,2,0,2,0,0,0,0,23,8,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\websockets-jsr\src\test\java\io\undertow\websockets\jsr\test\TestMessagesReceivedInOrder.java,io.undertow.websockets.jsr.test.TestMessagesReceivedInOrder,class,17,21,4,17,7,1,0,35,4,0.75,0.33333334,0.33333334,4,3,3,1,0,0,3,0,0,0,3,3,0,3,0,0,2,0,1,93,1,0,2,1,0,6,4,11,1,10,1,1,1,0,57,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\servlet\src\main\java\io\undertow\servlet\handlers\SendErrorPageHandler.java,io.undertow.servlet.handlers.SendErrorPageHandler,class,4,5,1,4,5,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,15,0,0,1,0,1,0,1,2,0,2,1,0,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\test\java\io\undertow\client\http\H2CUpgradeContinuationTestCase.java,io.undertow.client.http.H2CUpgradeContinuationTestCase$Anonymous4$Anonymous5,anonymous,2,2,0,2,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\websockets-jsr\src\test\java\io\undertow\websockets\jsr\test\JsrWebSocketServer07Test.java,io.undertow.websockets.jsr.test.JsrWebSocketServer07Test$4TestEndPoint$Anonymous4,anonymous,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\server\handlers\RequestDumpingHandler.java,io.undertow.server.handlers.RequestDumpingHandler,class,12,15,3,12,20,1,0,42,4,0.5,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,146,1,8,3,1,0,53,0,8,19,8,6,1,2,0,75,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\security\handlers\SecurityActions.java,io.undertow.security.handlers.SecurityActions,class,2,3,1,2,2,1,0,3,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\attribute\CookieAttribute.java,io.undertow.attribute.CookieAttribute,class,5,8,3,5,6,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,35,3,1,0,0,0,2,0,1,1,1,2,0,1,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\websockets\core\InvalidOpCodeException.java,io.undertow.websockets.core.InvalidOpCodeException,class,1,1,0,1,4,5,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\predicate\ip\IPMatchBase.java,io.undertow.predicate.ip.IPMatchBase$ExactIpV4PeerMatch,innerclass,2,2,0,2,2,2,0,2,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,12,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\protocols\ajp\AjpResponseParser.java,io.undertow.protocols.ajp.AjpResponseParser,class,5,7,2,5,58,1,0,10,3,0.8185184,0.42222223,1.0,10,0,7,0,3,0,10,0,0,0,27,14,17,1,0,9,14,0,0,305,30,2,19,0,13,1,49,96,9,48,4,0,2,0,109,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\servlet\src\test\java\io\undertow\servlet\test\session\ServletURLRewritingSessionTestCase.java,io.undertow.servlet.test.session.ServletURLRewritingSessionTestCase,class,13,13,0,13,6,2,0,15,3,0.33333334,0.4,0.4,6,1,6,0,0,0,6,0,0,0,1,1,1,0,0,0,1,0,1,166,0,0,0,5,0,26,15,58,6,24,1,1,1,0,55,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\test\java\io\undertow\server\handlers\BadRequestTestCase.java,io.undertow.server.handlers.BadRequestTestCase$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\servlet\src\test\java\io\undertow\servlet\test\listener\request\async\onError\AsyncEventListener.java,io.undertow.servlet.test.listener.request.async.onError.AsyncEventListener,class,2,8,6,2,10,1,0,7,0,0.0,1.0,1.0,5,1,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,43,1,2,2,1,0,4,2,8,0,4,4,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\undertow\core\src\main\java\io\undertow\attribute\SecureProtocolAttribute.java,io.undertow.attribute.SecureProtocolAttribute,class,6,8,2,6,5,1,0,3,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,30,3,0,2,0,0,2,0,2,0,2,1,0,1,0,47,1,0
