file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialExamples\src\main\java\com\hoho\android\usbserial\examples\TerminalFragment.java,com.hoho.android.usbserial.examples.TerminalFragment$UsbPermission,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,innerclass,12,12,0,12,85,2,0,22,227,0.86956525,0.05,0.083333336,23,0,14,7,2,0,16,0,0,0,4,1,0,4,0,0,2,0,6,246,12,5,15,1,21,32,108,55,15,31,3,0,0,0,113,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\androidTest\java\com\hoho\android\usbserial\util\UsbWrapper.java,com.hoho.android.usbserial.util.UsbWrapper$OpenCloseFlags,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\GsmModemSerialDriver.java,com.hoho.android.usbserial.driver.GsmModemSerialDriver$GsmModemSerialPort,innerclass,8,8,0,8,14,2,0,11,13,0.6666667,0.1,0.1,6,0,3,1,2,0,5,0,0,0,1,0,0,1,0,0,0,0,2,44,2,1,4,1,4,4,9,6,2,4,2,0,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialExamples\src\main\java\com\hoho\android\usbserial\examples\MainActivity.java,com.hoho.android.usbserial.examples.MainActivity,class,8,9,1,8,8,2,0,19,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,2,0,0,4,1,2,0,2,2,0,0,0,39,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\util\SerialInputOutputManager.java,com.hoho.android.usbserial.util.SerialInputOutputManager$Listener,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\androidTest\java\com\hoho\android\usbserial\driver\CommonUsbSerialPortWrapper.java,com.hoho.android.usbserial.driver.CommonUsbSerialPortWrapper,class,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver,class,7,12,5,7,4,2,0,3,2,0.94736844,0.33333334,0.5,4,1,4,0,0,0,4,0,0,0,19,17,0,19,0,0,19,0,1,282,3,0,0,0,0,1,17,20,0,20,0,0,1,0,48,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialExamples\src\main\java\com\hoho\android\usbserial\examples\TerminalFragment.java,com.hoho.android.usbserial.examples.TerminalFragment,class,32,37,5,32,49,2,0,77,48,0.8274509,0.24242425,0.8333333,17,0,11,5,0,1,12,0,0,0,13,3,0,13,0,0,5,0,6,325,11,1,12,6,2,29,12,41,9,36,3,1,2,4,124,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\androidTest\java\com\hoho\android\usbserial\DeviceTest.java,com.hoho.android.usbserial.DeviceTest$1DummyDriver,innerclass,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\test\java\android\util\Log.java,android.util.Log,class,0,13,13,0,5,1,0,2,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,11,5,0,5,0,0,0,0,0,9,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\CdcAcmSerialDriver.java,com.hoho.android.usbserial.driver.CdcAcmSerialDriver,class,7,13,6,7,13,2,0,9,11,0.7916667,0.2,0.3,6,3,5,1,0,0,5,0,0,0,4,1,1,3,0,0,4,0,3,265,5,2,4,0,0,2,8,9,0,9,2,0,1,0,47,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\FtdiSerialDriver.java,com.hoho.android.usbserial.driver.FtdiSerialDriver$FtdiSerialPort,innerclass,11,11,0,11,109,2,0,28,183,0.90313375,0.1884058,0.4456522,26,0,21,2,3,0,24,0,0,0,27,23,0,27,0,0,23,0,15,341,15,3,28,1,20,30,145,106,55,61,2,0,0,0,148,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Cp21xxSerialDriver.java,com.hoho.android.usbserial.driver.Cp21xxSerialDriver,class,7,12,5,7,5,2,0,4,2,0.6666667,0.33333334,0.5,4,1,4,0,0,0,4,0,0,0,3,1,0,3,0,0,3,0,0,281,3,1,0,0,0,1,1,5,0,5,1,0,1,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\test\java\com\hoho\android\usbserial\util\SerialInputOutputManagerTest.java,com.hoho.android.usbserial.util.SerialInputOutputManagerTest,class,7,7,0,7,1,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,4,5,0,5,0,0,2,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\UsbSerialPort.java,com.hoho.android.usbserial.driver.UsbSerialPort$ControlLine,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\usb-serial-for-android\usbSerialForAndroid\src\androidTest\java\com\hoho\android\usbserial\util\UsbWrapper.java,com.hoho.android.usbserial.util.UsbWrapper,class,24,31,7,24,104,1,0,63,73,0.8771931,0.28654972,0.45614034,19,0,19,0,0,0,19,0,0,0,21,3,16,1,0,4,8,0,24,339,19,8,29,7,0,21,107,83,10,40,4,1,1,0,127,1,0
