file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,class,3,7,4,3,23,1,0,5,186,0.9,0.057142857,0.057142857,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,4,87,13,0,0,0,0,11,3,14,0,14,1,0,0,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\media\event\mediaServer\MediaServerEventAbstract.java,com.genersoft.iot.vmp.media.event.mediaServer.MediaServerEventAbstract,class,4,7,3,4,1,2,3,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,2,0,0,0,0,15,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\controller\PlaybackController.java,com.genersoft.iot.vmp.gb28181.controller.PlaybackController,class,29,29,0,29,33,1,0,43,0,0.5714286,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,7,0,0,7,0,0,0,0,2,136,1,0,15,5,0,61,5,20,9,28,5,0,0,1,71,1,10
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\util\Bin.java,com.genersoft.iot.vmp.jt1078.util.Bin,class,1,3,2,1,7,1,0,3,1,0.5,0.0,0.0,2,2,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,23,2,2,1,0,1,1,7,8,2,5,2,0,0,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\session\SseSessionManager.java,com.genersoft.iot.vmp.gb28181.session.SseSessionManager,class,7,10,3,7,7,1,0,18,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,44,2,1,1,1,0,6,2,3,0,5,2,0,0,2,27,1,4
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\streamPush\service\IStreamPushPlayService.java,com.genersoft.iot.vmp.streamPush.service.IStreamPushPlayService,interface,1,4,3,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8100.java,com.genersoft.iot.vmp.jt1078.proc.response.J8100,class,3,4,1,3,4,2,0,4,0,0.625,0.5,1.0,4,0,4,0,0,0,4,0,0,0,4,1,1,0,0,3,1,0,0,22,1,0,0,0,0,1,1,5,0,5,0,0,0,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\transmit\event\request\impl\message\query\cmd\CatalogQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.CatalogQueryMessageHandler,class,18,19,1,18,7,2,0,13,3,0.73333335,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,1,0,0,40,0,0,0,3,0,4,1,5,0,9,2,0,0,0,46,1,2
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\media\zlm\dto\hook\OnServerKeepaliveHookParam.java,com.genersoft.iot.vmp.media.zlm.dto.hook.OnServerKeepaliveHookParam,class,2,3,1,2,3,2,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,2,0,1,2,1,0,0,0,0,13,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\transmit\event\request\impl\message\query\cmd\DeviceInfoQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.DeviceInfoQueryMessageHandler,class,20,20,0,20,13,2,0,22,3,0.72222227,0.0,0.0,3,0,3,0,0,0,3,0,0,0,6,0,0,6,0,0,1,0,1,77,8,0,3,6,0,16,0,7,0,12,2,0,0,0,54,1,10
