file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\core\window\NativeMacOsWindowControl.java,io.xpipe.app.core.window.NativeMacOsWindowControl,class,7,7,0,7,6,1,0,15,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,31,3,0,0,1,0,3,0,8,0,8,1,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListComp.java,io.xpipe.app.browser.file.BrowserFileListComp$FileOwnerCell,innerclass,1,1,0,1,5,2,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,1,0,0,0,14,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\util\LocalExec.java,io.xpipe.app.util.LocalExec,class,1,2,1,1,3,1,0,14,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,22,3,0,1,1,0,11,1,3,0,3,2,0,0,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\core\src\main\java\io\xpipe\core\dialog\Dialog.java,io.xpipe.core.dialog.Dialog$Query,innerclass,6,6,0,6,8,2,0,5,0,0.0,1.0,1.0,4,0,1,2,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,21,5,0,2,0,1,0,1,1,0,1,1,0,0,0,13,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\browser\file\BrowserFileListNameCell.java,io.xpipe.app.browser.file.BrowserFileListNameCell,class,24,25,1,24,22,2,0,69,0,0.48000002,1.0,1.0,5,0,1,3,1,0,2,0,0,0,5,0,0,5,0,0,5,0,1,123,8,0,12,1,0,5,9,26,2,35,3,0,0,11,93,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\util\SecretQueryFilter.java,io.xpipe.app.util.SecretQueryFilter,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\core\src\main\java\io\xpipe\core\util\FailableFunction.java,io.xpipe.core.util.FailableFunction,interface,2,12,10,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\terminal\ExternalTerminalType.java,io.xpipe.app.terminal.ExternalTerminalType$Anonymous13,anonymous,3,3,0,3,6,1,0,6,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,3,0,0,0,0,0,0,0,0,21,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\terminal\ExternalTerminalType.java,io.xpipe.app.terminal.ExternalTerminalType$Anonymous12,anonymous,3,3,0,3,6,1,0,6,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,3,0,0,0,0,0,0,0,0,22,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\xpipe\app\src\main\java\io\xpipe\app\terminal\ExternalTerminalType.java,io.xpipe.app.terminal.ExternalTerminalType$Anonymous15,anonymous,4,4,0,4,7,1,0,5,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,20,6,0,1,0,0,2,2,0,0,0,0,0,0,0,22,-1,0
