file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\test\java\com\netflix\zuul\context\SessionContextTest.java,com.netflix.zuul.context.SessionContextTest,class,5,5,0,5,11,1,0,22,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,27,0,22,0,22,0,0,0,4,36,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\test\java\com\netflix\zuul\message\http\HttpQueryParamsTest.java,com.netflix.zuul.message.http.HttpQueryParamsTest,class,4,4,0,4,12,1,0,16,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,9,96,0,0,0,0,0,74,2,22,0,21,0,0,0,1,42,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\main\java\com\netflix\zuul\filters\FilterType.java,com.netflix.zuul.filters.FilterType,enum,1,29,28,1,6,1,0,2,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,21,4,0,0,0,0,7,0,2,1,1,1,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\main\java\com\netflix\zuul\message\ZuulMessageImpl.java,com.netflix.zuul.message.ZuulMessageImpl,class,12,18,6,12,42,1,0,37,145,0.82608694,0.21645021,0.45887446,23,0,22,1,0,0,22,0,0,0,6,1,0,3,3,0,2,0,7,153,14,4,8,0,5,7,15,24,1,23,3,0,0,2,96,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\main\java\com\netflix\zuul\message\ZuulMessage.java,com.netflix.zuul.message.ZuulMessage,interface,7,67,60,7,20,1,0,0,190,0.0,0.0,0.0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\main\java\com\netflix\netty\common\metrics\Http2MetricsChannelHandlers.java,com.netflix.netty.common.metrics.Http2MetricsChannelHandlers$Outbound,innerclass,8,8,0,8,5,2,0,4,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,28,0,0,0,1,0,2,0,4,2,4,2,0,0,0,28,2,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\test\java\com\netflix\zuul\netty\server\ServerTest.java,com.netflix.zuul.netty.server.ServerTest$Anonymous2,anonymous,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\main\java\com\netflix\zuul\exception\ErrorType.java,com.netflix.zuul.exception.ErrorType,interface,3,10,7,3,3,1,0,0,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,10,0,0,0,0,10,0,0,0,15,0,0,0,0,0,10,9,10,9,10,0,0,0,0,37,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-processor\src\test\java\com\netflix\zuul\filters\processor\FilterProcessorTest.java,com.netflix.zuul.filters.processor.FilterProcessorTest,class,9,9,0,9,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\main\java\com\netflix\netty\common\metrics\PerEventLoopMetricsChannelHandler.java,com.netflix.netty.common.metrics.PerEventLoopMetricsChannelHandler$HttpRequests,innerclass,8,8,0,8,6,2,0,10,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\test\java\com\netflix\netty\common\metrics\InstrumentedResourceLeakDetectorTest.java,com.netflix.netty.common.metrics.InstrumentedResourceLeakDetectorTest,class,6,6,0,6,2,1,0,3,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,6,4,1,0,1,0,0,0,0,10,0,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\test\java\com\netflix\zuul\netty\server\ClientResponseWriterTest.java,com.netflix.zuul.netty.server.ClientResponseWriterTest$Anonymous2,anonymous,3,3,0,3,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\zuul\zuul-core\src\test\java\com\netflix\netty\common\HttpServerLifecycleChannelHandlerTest.java,com.netflix.netty.common.HttpServerLifecycleChannelHandlerTest,class,10,10,0,10,4,2,0,14,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,1,0,1,3,7,0,7,2,0,1,0,33,0,0
