name,owner,createdAt,updatedAt,stargazers,releases,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,loc_total
JavaGuide,Snailclimb,2018-05-07T13:27:00Z,2025-03-15T14:00:54Z,148698,0,,,,,,,,,,0
hello-algo,krahets,2022-11-04T11:08:34Z,2025-03-15T18:28:44Z,110186,9,1.8744186046511628,2.0,1.5125785718767972,1.0,1.0,0.0,4.706976744186046,1.0,10.457868194443542,7707
java-design-patterns,iluwatar,2014-08-09T16:45:18Z,2025-03-15T18:26:47Z,90999,0,3.36353711790393,3.0,2.6061185284884574,1.203056768558952,1.0,0.5331515903510685,1.8760917030567683,0.0,6.555600655504155,34489
mall,macrozheng,2018-04-04T01:11:44Z,2025-03-15T14:56:03Z,79471,3,3.934210526315789,3.0,4.966914318526477,1.2394736842105265,1.0,0.4392108588021262,1110.803947368421,13.0,8155.555246123952,100903
advanced-java,doocs,2018-10-06T11:38:30Z,2025-03-15T16:17:07Z,77236,1,,,,,,,,,,0
spring-boot,spring-projects,2012-10-19T15:02:57Z,2025-03-15T19:11:57Z,76444,300,5.739620791108205,4.0,6.615211958030385,1.226217718208565,1.0,0.663255291589141,11.391304347826088,0.0,114.24283382556467,172735
LeetCodeAnimation,MisterBooo,2018-12-06T08:01:22Z,2025-03-15T17:17:18Z,75765,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,78
elasticsearch,elastic,2010-02-08T13:20:56Z,2025-03-15T19:26:15Z,71990,174,,,,,,,,,,0
interviews,kdn251,2017-02-14T18:19:25Z,2025-03-15T15:30:30Z,64017,0,1.1945525291828794,1.0,1.2535455552727108,1.0038910505836576,1.0,0.0623782861551804,0.2918287937743191,0.0,0.9293664686623502,5621
Java,TheAlgorithms,2016-07-16T10:21:02Z,2025-03-15T18:47:27Z,61087,0,1.9875173370319,2.0,1.3988632522089726,1.0464632454923717,1.0,0.2860229611724218,6.94244105409154,1.0,25.524235977047407,51670
spring-framework,spring-projects,2010-12-08T04:04:45Z,2025-03-15T18:58:24Z,57548,327,,,,,,,,,,0
ghidra,NationalSecurityAgency,2019-03-01T03:27:48Z,2025-03-15T17:52:04Z,55349,42,,,,,,,,,,0
Stirling-PDF,Stirling-Tools,2023-01-27T18:22:42Z,2025-03-15T17:09:30Z,54136,118,7.815028901734104,5.0,7.950601444701873,1.317919075144509,1.0,0.6483622661867321,12.248554913294798,0.0,48.91668824859271,17061
guava,google,2014-05-29T16:23:17Z,2025-03-15T19:13:24Z,50585,48,4.036140840701101,2.0,5.650962910488641,1.8013029315960911,1.0,2.2557703115167427,47.80626648053358,0.0,446.16863826803,254051
RxJava,ReactiveX,2013-01-08T20:11:48Z,2025-03-15T15:11:24Z,48039,235,2.524058312968737,1.0,5.252096459663743,1.3186989129518834,1.0,0.8862814172993888,47.41636470885649,0.0,1802.8289152707823,370369
