name,owner,stargazerCount,createdAt,updatedAt,url,mergedPRs,closedPRs,totalPRs
freeCodeCamp,{'login': 'freeCodeCamp'},416294,2014-12-24T17:49:19Z,2025-04-12T19:09:03Z,https://github.com/freeCodeCamp/freeCodeCamp,24772.0,14858.0,39630.0
build-your-own-x,{'login': 'codecrafters-io'},370501,2018-05-09T12:03:18Z,2025-04-12T19:02:36Z,https://github.com/codecrafters-io/build-your-own-x,141.0,139.0,280.0
awesome,{'login': 'sindresorhus'},355750,2014-07-11T13:42:37Z,2025-04-12T19:10:17Z,https://github.com/sindresorhus/awesome,665.0,1408.0,2073.0
free-programming-books,{'login': 'EbookFoundation'},354788,2013-10-11T06:50:37Z,2025-04-12T18:34:55Z,https://github.com/EbookFoundation/free-programming-books,6797.0,3615.0,10412.0
public-apis,{'login': 'public-apis'},335488,2016-03-20T23:49:42Z,2025-04-12T18:56:45Z,https://github.com/public-apis/public-apis,1872.0,1091.0,2963.0
coding-interview-university,{'login': 'jwasham'},314247,2016-06-06T02:34:12Z,2025-04-12T17:12:15Z,https://github.com/jwasham/coding-interview-university,415.0,591.0,1006.0
developer-roadmap,{'login': 'kamranahmedse'},313604,2017-03-15T13:45:52Z,2025-04-12T19:09:58Z,https://github.com/kamranahmedse/developer-roadmap,3430.0,1586.0,5016.0
system-design-primer,{'login': 'donnemartin'},296138,2017-02-26T16:15:28Z,2025-04-12T18:49:09Z,https://github.com/donnemartin/system-design-primer,199.0,130.0,329.0
996.ICU,{'login': '996icu'},270519,2019-03-26T07:31:14Z,2025-04-12T16:09:40Z,https://github.com/996icu/996.ICU,1068.0,915.0,1983.0
awesome-python,{'login': 'vinta'},240215,2014-06-27T21:00:06Z,2025-04-12T18:45:20Z,https://github.com/vinta/awesome-python,543.0,1004.0,1547.0
react,{'login': 'facebook'},234472,2013-05-24T16:15:54Z,2025-04-12T18:14:23Z,https://github.com/facebook/react,11591.0,5378.0,16969.0
