name,owner,stargazerCount,createdAt,updatedAt,url,mergedPRs,closedPRs,totalPRs
freeCodeCamp,{'login': 'freeCodeCamp'},415131,2014-12-24T17:49:19Z,2025-04-04T14:35:06Z,https://github.com/freeCodeCamp/freeCodeCamp,24704,14847,39551
build-your-own-x,{'login': 'codecrafters-io'},367973,2018-05-09T12:03:18Z,2025-04-04T14:30:43Z,https://github.com/codecrafters-io/build-your-own-x,140,138,278
awesome,{'login': 'sindresorhus'},354598,2014-07-11T13:42:37Z,2025-04-04T14:31:57Z,https://github.com/sindresorhus/awesome,664,1408,2072
free-programming-books,{'login': 'EbookFoundation'},354432,2013-10-11T06:50:37Z,2025-04-04T13:48:19Z,https://github.com/EbookFoundation/free-programming-books,6796,3613,10409
public-apis,{'login': 'public-apis'},334875,2016-03-20T23:49:42Z,2025-04-04T14:25:54Z,https://github.com/public-apis/public-apis,1872,1089,2961
coding-interview-university,{'login': 'jwasham'},313959,2016-06-06T02:34:12Z,2025-04-04T14:15:13Z,https://github.com/jwasham/coding-interview-university,415,590,1005
developer-roadmap,{'login': 'kamranahmedse'},313129,2017-03-15T13:45:52Z,2025-04-04T14:32:21Z,https://github.com/kamranahmedse/developer-roadmap,3418,1584,5002
system-design-primer,{'login': 'donnemartin'},295417,2017-02-26T16:15:28Z,2025-04-04T14:34:59Z,https://github.com/donnemartin/system-design-primer,199,130,329
996.ICU,{'login': '996icu'},270490,2019-03-26T07:31:14Z,2025-04-04T11:34:39Z,https://github.com/996icu/996.ICU,1068,915,1983
awesome-python,{'login': 'vinta'},239254,2014-06-27T21:00:06Z,2025-04-04T14:34:46Z,https://github.com/vinta/awesome-python,543,1004,1547
react,{'login': 'facebook'},234114,2013-05-24T16:15:54Z,2025-04-04T13:33:31Z,https://github.com/facebook/react,11572,5371,16943
awesome-selfhosted,{'login': 'awesome-selfhosted'},223362,2015-06-01T02:33:17Z,2025-04-04T14:31:45Z,https://github.com/awesome-selfhosted/awesome-selfhosted,2393,643,3036
project-based-learning,{'login': 'practical-tutorials'},223320,2017-04-12T05:07:46Z,2025-04-04T14:28:36Z,https://github.com/practical-tutorials/project-based-learning,182,172,354
